LocID,Location,VarID,Variant,Period,MidPeriod,Time,LEx,LExMale,LExFemale
250,France,2,Medium,1950-1955,1953,1950,67.27,64.24,70.17
250,France,2,Medium,1950-1955,1953,1951,67.27,64.24,70.17
250,France,2,Medium,1950-1955,1953,1952,67.27,64.24,70.17
250,France,2,Medium,1950-1955,1953,1953,67.27,64.24,70.17
250,France,2,Medium,1950-1955,1953,1954,67.27,64.24,70.17
250,France,2,Medium,1950-1955,1953,1955,67.27,64.24,70.17
250,France,2,Medium,1955-1960,1958,1956,69.39,66.08,72.6
250,France,2,Medium,1955-1960,1958,1957,69.39,66.08,72.6
250,France,2,Medium,1955-1960,1958,1958,69.39,66.08,72.6
250,France,2,Medium,1955-1960,1958,1959,69.39,66.08,72.6
250,France,2,Medium,1955-1960,1958,1960,69.39,66.08,72.6
250,France,2,Medium,1960-1965,1963,1961,70.75,67.23,74.2
250,France,2,Medium,1960-1965,1963,1962,70.75,67.23,74.2
250,France,2,Medium,1960-1965,1963,1963,70.75,67.23,74.2
250,France,2,Medium,1960-1965,1963,1964,70.75,67.23,74.2
250,France,2,Medium,1960-1965,1963,1965,70.75,67.23,74.2
250,France,2,Medium,1965-1970,1968,1966,71.45,67.74,75.18
250,France,2,Medium,1965-1970,1968,1967,71.45,67.74,75.18
250,France,2,Medium,1965-1970,1968,1968,71.45,67.74,75.18
250,France,2,Medium,1965-1970,1968,1969,71.45,67.74,75.18
250,France,2,Medium,1965-1970,1968,1970,71.45,67.74,75.18
250,France,2,Medium,1970-1975,1973,1971,72.43,68.62,76.29
250,France,2,Medium,1970-1975,1973,1972,72.43,68.62,76.29
250,France,2,Medium,1970-1975,1973,1973,72.43,68.62,76.29
250,France,2,Medium,1970-1975,1973,1974,72.43,68.62,76.29
250,France,2,Medium,1970-1975,1973,1975,72.43,68.62,76.29
250,France,2,Medium,1975-1980,1978,1976,73.66,69.66,77.77
250,France,2,Medium,1975-1980,1978,1977,73.66,69.66,77.77
250,France,2,Medium,1975-1980,1978,1978,73.66,69.66,77.77
250,France,2,Medium,1975-1980,1978,1979,73.66,69.66,77.77
250,France,2,Medium,1975-1980,1978,1980,73.66,69.66,77.77
250,France,2,Medium,1980-1985,1983,1981,74.77,70.73,78.89
250,France,2,Medium,1980-1985,1983,1982,74.77,70.73,78.89
250,France,2,Medium,1980-1985,1983,1983,74.77,70.73,78.89
250,France,2,Medium,1980-1985,1983,1984,74.77,70.73,78.89
250,France,2,Medium,1980-1985,1983,1985,74.77,70.73,78.89
250,France,2,Medium,1985-1990,1988,1986,76.13,72.05,80.26
250,France,2,Medium,1985-1990,1988,1987,76.13,72.05,80.26
250,France,2,Medium,1985-1990,1988,1988,76.13,72.05,80.26
250,France,2,Medium,1985-1990,1988,1989,76.13,72.05,80.26
250,France,2,Medium,1985-1990,1988,1990,76.13,72.05,80.26
250,France,2,Medium,1990-1995,1993,1991,77.34,73.23,81.48
250,France,2,Medium,1990-1995,1993,1992,77.34,73.23,81.48
250,France,2,Medium,1990-1995,1993,1993,77.34,73.23,81.48
250,France,2,Medium,1990-1995,1993,1994,77.34,73.23,81.48
250,France,2,Medium,1990-1995,1993,1995,77.34,73.23,81.48
250,France,2,Medium,1995-2000,1998,1996,78.45,74.55,82.33
250,France,2,Medium,1995-2000,1998,1997,78.45,74.55,82.33
250,France,2,Medium,1995-2000,1998,1998,78.45,74.55,82.33
250,France,2,Medium,1995-2000,1998,1999,78.45,74.55,82.33
250,France,2,Medium,1995-2000,1998,2000,78.45,74.55,82.33
250,France,2,Medium,2000-2005,2003,2001,79.6,75.91,83.21
250,France,2,Medium,2000-2005,2003,2002,79.6,75.91,83.21
250,France,2,Medium,2000-2005,2003,2003,79.6,75.91,83.21
250,France,2,Medium,2000-2005,2003,2004,79.6,75.91,83.21
250,France,2,Medium,2000-2005,2003,2005,79.6,75.91,83.21
