Age,Male,Female
0,1.2,1.2
1,1.2,1.2
2,1.2,1.2
3,1.2,1.2
4,1.2,1.2
5,1.2,1.2
6,1.2,1.2
7,1.2,1.2
8,1.2,1.2
9,1.2,1.2
10,1.2,1.2
11,1.2,1.2
12,1.2,1.2
13,1.2,1.2
14,1.2,1.2
15,1.2,1.2
16,1.2,1.2
17,1.2,1.2
18,1.2,1.2
19,1.2,1.2
20,1.2,1.2
21,1.2,1.2
22,1.2,1.2
23,1.2,1.2
24,1.2,1.2
25,1.2,1.2
26,1.2,1.2
27,1.2,1.2
28,1.2,1.2
29,1.2,1.2
30,1.2,1.2
31,1.2,1.2
32,1.2,1.2
33,1.2,1.2
34,1.2,1.2
35,1.2,1.2
36,1.2,1.2
37,1.2,1.2
38,1.2,1.2
39,1.2,1.2
40,1.2,1.2
41,1.2,1.2
42,1.2,1.2
43,1.2,1.2
44,1.2,1.2
45,1.2,1.2
46,1.2,1.2
47,1.2,1.2
48,1.2,1.2
49,1.2,1.2
50,1.2,1.2
51,1.2,1.2
52,1.2,1.2
53,1.2,1.2
54,1.2,1.2
55,1.2,1.2
56,1.2,1.2
57,1.2,1.2
58,1.2,1.2
59,1.2,1.2
60,1.2,1.2
61,1.2,1.2
62,1.2,1.2
63,1.2,1.2
64,1.2,1.2
65,2.95,2.95
66,2.95,2.95
67,2.95,2.95
68,2.95,2.95
69,2.95,2.95
70,2.95,2.95
71,2.95,2.95
72,2.95,2.95
73,2.95,2.95
74,2.95,2.95
75,2.95,2.95
76,2.95,2.95
77,2.95,2.95
78,2.95,2.95
79,2.95,2.95
80,2.95,2.95
81,2.95,2.95
82,2.95,2.95
83,2.95,2.95
84,2.95,2.95
85,2.95,2.95
86,2.95,2.95
87,2.95,2.95
88,2.95,2.95
89,2.95,2.95
90,2.95,2.95
91,2.95,2.95
92,2.95,2.95
93,2.95,2.95
94,2.95,2.95
95,2.95,2.95
96,2.95,2.95
97,2.95,2.95
98,2.95,2.95
99,2.95,2.95
100,2.95,2.95
101,2.95,2.95
102,2.95,2.95
103,2.95,2.95
104,2.95,2.95
105,2.95,2.95
106,2.95,2.95
107,2.95,2.95
108,2.95,2.95
109,2.95,2.95
110,2.95,2.95
