Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,0.94,0.94
61,0.94,0.94
62,0.94,0.94
63,0.94,0.94
64,0.94,0.94
65,0.94,0.94
66,0.94,0.94
67,0.94,0.94
68,0.94,0.94
69,0.94,0.94
70,0.94,0.94
71,0.94,0.94
72,0.94,0.94
73,0.94,0.94
74,0.94,0.94
75,0.94,0.94
76,0.94,0.94
77,0.94,0.94
78,0.94,0.94
79,0.94,0.94
80,0.94,0.94
81,0.94,0.94
82,0.94,0.94
83,0.94,0.94
84,0.94,0.94
85,0.94,0.94
86,0.94,0.94
87,0.94,0.94
88,0.94,0.94
89,0.94,0.94
90,0.94,0.94
91,0.94,0.94
92,0.94,0.94
93,0.94,0.94
94,0.94,0.94
95,0.94,0.94
96,0.94,0.94
97,0.94,0.94
98,0.94,0.94
99,0.94,0.94
100,0.94,0.94
101,0.94,0.94
102,0.94,0.94
103,0.94,0.94
104,0.94,0.94
105,0.94,0.94
106,0.94,0.94
107,0.94,0.94
108,0.94,0.94
109,0.94,0.94
110,0.94,0.94
