Age,Male,Female
0,1.19,1.2
1,1.19,1.2
2,1.19,1.2
3,1.19,1.2
4,1.19,1.2
5,1.19,1.2
6,1.19,1.2
7,1.19,1.2
8,1.19,1.2
9,1.19,1.2
10,1.19,1.2
11,1.19,1.2
12,1.19,1.2
13,1.19,1.2
14,1.19,1.2
15,1.19,1.2
16,1.19,1.2
17,1.19,1.2
18,1.19,1.2
19,1.19,1.2
20,1.19,1.2
21,1.19,1.2
22,1.19,1.2
23,1.19,1.2
24,1.19,1.2
25,1.19,1.2
26,1.19,1.2
27,1.19,1.2
28,1.19,1.2
29,1.19,1.2
30,1.19,1.2
31,1.19,1.2
32,1.19,1.2
33,1.19,1.2
34,1.19,1.2
35,1.19,1.2
36,1.19,1.2
37,1.19,1.2
38,1.19,1.2
39,1.19,1.2
40,1.19,1.2
41,1.19,1.2
42,1.19,1.2
43,1.19,1.2
44,1.19,1.2
45,1.19,1.2
46,1.19,1.2
47,1.19,1.2
48,1.19,1.2
49,1.19,1.2
50,1.19,1.2
51,1.19,1.2
52,1.19,1.2
53,1.19,1.2
54,1.19,1.2
55,1.19,1.2
56,1.19,1.2
57,1.19,1.2
58,1.19,1.2
59,1.19,1.2
60,1.19,1.2
61,1.19,1.2
62,1.19,1.2
63,1.19,1.2
64,1.19,1.2
65,1.19,2.95
66,1.19,2.95
67,1.19,2.95
68,1.19,2.95
69,1.19,2.95
70,1.19,2.95
71,1.19,2.95
72,1.19,2.95
73,1.19,2.95
74,1.19,2.95
75,1.19,2.95
76,1.19,2.95
77,1.19,2.95
78,1.19,2.95
79,1.19,2.95
80,1.19,2.95
81,1.19,2.95
82,1.19,2.95
83,1.19,2.95
84,1.19,2.95
85,1.19,2.95
86,1.19,2.95
87,1.19,2.95
88,1.19,2.95
89,1.19,2.95
90,1.19,2.95
91,1.19,2.95
92,1.19,2.95
93,1.19,2.95
94,1.19,2.95
95,1.19,2.95
96,1.19,2.95
97,1.19,2.95
98,1.19,2.95
99,1.19,2.95
100,1.19,2.95
101,1.19,2.95
102,1.19,2.95
103,1.19,2.95
104,1.19,2.95
105,1.19,2.95
106,1.19,2.95
107,1.19,2.95
108,1.19,2.95
109,1.19,2.95
110,1.19,2.95
