Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,0.71,0.71
40,0.71,0.71
41,0.71,0.71
42,0.71,0.71
43,0.71,0.71
44,0.71,0.71
45,0.71,0.71
46,0.71,0.71
47,0.71,0.71
48,0.71,0.71
49,0.71,0.71
50,0.71,0.71
51,0.71,0.71
52,0.71,0.71
53,0.71,0.71
54,0.71,0.71
55,0.71,0.71
56,0.71,0.71
57,0.71,0.71
58,0.71,0.71
59,0.71,0.71
60,0.71,0.71
61,0.71,0.71
62,0.71,0.71
63,0.71,0.71
64,0.71,0.71
65,0.71,0.71
66,0.71,0.71
67,0.71,0.71
68,0.71,0.71
69,0.71,0.71
70,0.71,0.71
71,0.71,0.71
72,0.71,0.71
73,0.71,0.71
74,0.71,0.71
75,0.71,0.71
76,0.71,0.71
77,0.71,0.71
78,0.71,0.71
79,0.71,0.71
80,0.71,0.71
81,0.71,0.71
82,0.71,0.71
83,0.71,0.71
84,0.71,0.71
85,0.71,0.71
86,0.71,0.71
87,0.71,0.71
88,0.71,0.71
89,0.71,0.71
90,0.71,0.71
91,0.71,0.71
92,0.71,0.71
93,0.71,0.71
94,0.71,0.71
95,0.71,0.71
96,0.71,0.71
97,0.71,0.71
98,0.71,0.71
99,0.71,0.71
100,0.71,0.71
101,0.71,0.71
102,0.71,0.71
103,0.71,0.71
104,0.71,0.71
105,0.71,0.71
106,0.71,0.71
107,0.71,0.71
108,0.71,0.71
109,0.71,0.71
