Age,Male,Female
0,0.94,0.94
1,0.94,0.94
2,0.94,0.94
3,0.94,0.94
4,0.94,0.94
5,0.94,0.94
6,0.94,0.94
7,0.94,0.94
8,0.94,0.94
9,0.94,0.94
10,0.94,0.94
11,0.94,0.94
12,0.94,0.94
13,0.94,0.94
14,0.94,0.94
15,0.94,0.94
16,0.94,0.94
17,0.94,0.94
18,0.94,0.94
19,0.94,0.94
20,0.94,0.94
21,0.94,0.94
22,0.94,0.94
23,0.94,0.94
24,0.94,0.94
25,0.94,0.94
26,0.94,0.94
27,0.94,0.94
28,0.94,0.94
29,0.94,0.94
30,0.94,0.94
31,0.94,0.94
32,0.94,0.94
33,0.94,0.94
34,0.94,0.94
35,0.94,0.94
36,0.94,0.94
37,0.94,0.94
38,0.94,0.94
39,0.94,0.94
40,0.94,0.94
41,0.94,0.94
42,0.94,0.94
43,0.94,0.94
44,0.94,0.94
45,0.94,0.94
46,0.94,0.94
47,0.94,0.94
48,0.94,0.94
49,0.94,0.94
50,0.94,0.94
51,0.94,0.94
52,0.94,0.94
53,0.94,0.94
54,0.94,0.94
55,0.94,0.94
56,0.94,0.94
57,0.94,0.94
58,0.94,0.94
59,0.94,0.94
60,0.94,0.94
61,0.94,0.94
62,0.94,0.94
63,0.94,0.94
64,0.94,0.94
65,0.94,0.94
66,0.94,0.94
67,0.94,0.94
68,0.94,0.94
69,0.94,0.94
70,0.94,0.94
71,0.94,0.94
72,0.94,0.94
73,0.94,0.94
74,0.94,0.94
75,0.94,0.94
76,0.94,0.94
77,0.94,0.94
78,0.94,0.94
79,0.94,0.94
80,0.94,0.94
81,0.94,0.94
82,0.94,0.94
83,0.94,0.94
84,0.94,0.94
85,0.94,0.94
86,0.94,0.94
87,0.94,0.94
88,0.94,0.94
89,0.94,0.94
90,0.94,0.94
91,0.94,0.94
92,0.94,0.94
93,0.94,0.94
94,0.94,0.94
95,0.94,0.94
96,0.94,0.94
97,0.94,0.94
98,0.94,0.94
99,0.94,0.94
100,0.94,0.94
101,0.94,0.94
102,0.94,0.94
103,0.94,0.94
104,0.94,0.94
105,0.94,0.94
106,0.94,0.94
107,0.94,0.94
108,0.94,0.94
109,0.94,0.94
110,0.94,0.94
