Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1.47,1.47
51,1.47,1.47
52,1.47,1.47
53,1.47,1.47
54,1.47,1.47
55,1.47,1.47
56,1.47,1.47
57,1.47,1.47
58,1.47,1.47
59,1.47,1.47
60,1.47,1.47
61,1.47,1.47
62,1.47,1.47
63,1.47,1.47
64,1.47,1.47
65,1.47,1.47
66,1.47,1.47
67,1.47,1.47
68,1.47,1.47
69,1.47,1.47
70,1.47,1.47
71,1.47,1.47
72,1.47,1.47
73,1.47,1.47
74,1.47,1.47
75,1.47,1.47
76,1.47,1.47
77,1.47,1.47
78,1.47,1.47
79,1.47,1.47
80,1.47,1.47
81,1.47,1.47
82,1.47,1.47
83,1.47,1.47
84,1.47,1.47
85,1.47,1.47
86,1.47,1.47
87,1.47,1.47
88,1.47,1.47
89,1.47,1.47
90,1.47,1.47
91,1.47,1.47
92,1.47,1.47
93,1.47,1.47
94,1.47,1.47
95,1.47,1.47
96,1.47,1.47
97,1.47,1.47
98,1.47,1.47
99,1.47,1.47
100,1.47,1.47
101,1.47,1.47
102,1.47,1.47
103,1.47,1.47
104,1.47,1.47
105,1.47,1.47
106,1.47,1.47
107,1.47,1.47
108,1.47,1.47
109,1.47,1.47
110,1.47,1.47
