Age,Male,Female
0,1,0.93
1,1,0.93
2,1,0.93
3,1,0.93
4,1,0.93
5,1,0.93
6,1,0.93
7,1,0.93
8,1,0.93
9,1,0.93
10,1,0.93
11,1,0.93
12,1,0.93
13,1,0.93
14,1,0.93
15,1,0.93
16,1,0.93
17,1,0.93
18,1,0.93
19,1,0.93
20,1,0.93
21,1,0.93
22,1,0.93
23,1,0.93
24,1,0.93
25,1,0.93
26,1,0.93
27,1,0.93
28,1,0.93
29,1,0.93
30,1,0.93
31,1,0.93
32,1,0.93
33,1,0.93
34,1,0.93
35,1,0.93
36,1,0.93
37,1,0.93
38,1,0.93
39,1,0.93
40,1,0.93
41,1,0.93
42,1,0.93
43,1,0.93
44,1,0.93
45,1,0.93
46,1,0.93
47,1,0.93
48,1,0.93
49,1,0.93
50,1,0.93
51,1,0.93
52,1,0.93
53,1,0.93
54,1,0.93
55,1,0.93
56,1,0.93
57,1,0.93
58,1,0.93
59,1,0.93
60,1,0.93
61,1,0.93
62,1,0.93
63,1,0.93
64,1,0.93
65,1,0.93
66,1,0.93
67,1,0.93
68,1,0.93
69,1,0.93
70,1,0.93
71,1,0.93
72,1,0.93
73,1,0.93
74,1,0.93
75,1,0.93
76,1,0.93
77,1,0.93
78,1,0.93
79,1,0.93
80,1,0.93
81,1,0.93
82,1,0.93
83,1,0.93
84,1,0.93
85,1,0.93
86,1,0.93
87,1,0.93
88,1,0.93
89,1,0.93
90,1,0.93
91,1,0.93
92,1,0.93
93,1,0.93
94,1,0.93
95,1,0.93
96,1,0.93
97,1,0.93
98,1,0.93
99,1,0.93
100,1,0.93
101,1,0.93
102,1,0.93
103,1,0.93
104,1,0.93
105,1,0.93
106,1,0.93
107,1,0.93
108,1,0.93
109,1,0.93
110,1,0.93
