Age,Male,Female
0,3.07,3.07
1,3.07,3.07
2,3.07,3.07
3,3.07,3.07
4,3.07,3.07
5,3.07,3.07
6,3.07,3.07
7,3.07,3.07
8,3.07,3.07
9,3.07,3.07
10,3.07,3.07
11,3.07,3.07
12,3.07,3.07
13,3.07,3.07
14,3.07,3.07
15,3.07,3.07
16,3.07,3.07
17,3.07,3.07
18,3.07,3.07
19,3.07,3.07
20,3.07,3.07
21,3.07,3.07
22,3.07,3.07
23,3.07,3.07
24,3.07,3.07
25,3.07,3.07
26,3.07,3.07
27,3.07,3.07
28,3.07,3.07
29,3.07,3.07
30,3.07,3.07
31,3.07,3.07
32,3.07,3.07
33,3.07,3.07
34,3.07,3.07
35,3.07,3.07
36,3.07,3.07
37,3.07,3.07
38,3.07,3.07
39,3.07,3.07
40,3.07,3.07
41,3.07,3.07
42,3.07,3.07
43,3.07,3.07
44,3.07,3.07
45,3.07,3.07
46,3.07,3.07
47,3.07,3.07
48,3.07,3.07
49,3.07,3.07
50,3.07,3.07
51,3.07,3.07
52,3.07,3.07
53,3.07,3.07
54,3.07,3.07
55,3.07,3.07
56,3.07,3.07
57,3.07,3.07
58,3.07,3.07
59,3.07,3.07
60,3.07,3.07
61,3.07,3.07
62,3.07,3.07
63,3.07,3.07
64,3.07,3.07
65,3.07,3.07
66,3.07,3.07
67,3.07,3.07
68,3.07,3.07
69,3.07,3.07
70,3.07,3.07
71,3.07,3.07
72,3.07,3.07
73,3.07,3.07
74,3.07,3.07
75,3.07,3.07
76,3.07,3.07
77,3.07,3.07
78,3.07,3.07
79,3.07,3.07
80,3.07,3.07
81,3.07,3.07
82,3.07,3.07
83,3.07,3.07
84,3.07,3.07
85,3.07,3.07
86,3.07,3.07
87,3.07,3.07
88,3.07,3.07
89,3.07,3.07
90,3.07,3.07
91,3.07,3.07
92,3.07,3.07
93,3.07,3.07
94,3.07,3.07
95,3.07,3.07
96,3.07,3.07
97,3.07,3.07
98,3.07,3.07
99,3.07,3.07
100,3.07,3.07
101,3.07,3.07
102,3.07,3.07
103,3.07,3.07
104,3.07,3.07
105,3.07,3.07
106,3.07,3.07
107,3.07,3.07
108,3.07,3.07
109,3.07,3.07
110,3.07,3.07
