Age,Male,Female
0,1.18,1.18
1,1.18,1.18
2,1.18,1.18
3,1.18,1.18
4,1.18,1.18
5,1.18,1.18
6,1.18,1.18
7,1.18,1.18
8,1.18,1.18
9,1.18,1.18
10,1.18,1.18
11,1.18,1.18
12,1.18,1.18
13,1.18,1.18
14,1.18,1.18
15,1.18,1.18
16,1.18,1.18
17,1.18,1.18
18,1.18,1.18
19,1.18,1.18
20,1.18,1.18
21,1.18,1.18
22,1.18,1.18
23,1.18,1.18
24,1.18,1.18
25,1.18,1.18
26,1.18,1.18
27,1.18,1.18
28,1.18,1.18
29,1.18,1.18
30,1.18,1.18
31,1.18,1.18
32,1.18,1.18
33,1.18,1.18
34,1.18,1.18
35,1.18,1.18
36,1.18,1.18
37,1.18,1.18
38,1.18,1.18
39,1.18,1.18
40,1.18,1.18
41,1.18,1.18
42,1.18,1.18
43,1.18,1.18
44,1.18,1.18
45,1.18,1.18
46,1.18,1.18
47,1.18,1.18
48,1.18,1.18
49,1.18,1.18
50,1.18,1.18
51,1.18,1.18
52,1.18,1.18
53,1.18,1.18
54,1.18,1.18
55,1.18,1.18
56,1.18,1.18
57,1.18,1.18
58,1.18,1.18
59,1.18,1.18
60,1.18,1.18
61,1.18,1.18
62,1.18,1.18
63,1.18,1.18
64,1.18,1.18
65,1.18,1.18
66,1.18,1.18
67,1.18,1.18
68,1.18,1.18
69,1.18,1.18
70,1.18,1.18
71,1.18,1.18
72,1.18,1.18
73,1.18,1.18
74,1.18,1.18
75,1.18,1.18
76,1.18,1.18
77,1.18,1.18
78,1.18,1.18
79,1.18,1.18
80,1.18,1.18
81,1.18,1.18
82,1.18,1.18
83,1.18,1.18
84,1.18,1.18
85,1.18,1.18
86,1.18,1.18
87,1.18,1.18
88,1.18,1.18
89,1.18,1.18
90,1.18,1.18
91,1.18,1.18
92,1.18,1.18
93,1.18,1.18
94,1.18,1.18
95,1.18,1.18
96,1.18,1.18
97,1.18,1.18
98,1.18,1.18
99,1.18,1.18
100,1.18,1.18
101,1.18,1.18
102,1.18,1.18
103,1.18,1.18
104,1.18,1.18
105,1.18,1.18
106,1.18,1.18
107,1.18,1.18
108,1.18,1.18
109,1.18,1.18
110,1.18,1.18
