Age,Male,Female
0,3.89,3.89
1,3.89,3.89
2,3.89,3.89
3,3.89,3.89
4,3.89,3.89
5,3.89,3.89
6,3.89,3.89
7,3.89,3.89
8,3.89,3.89
9,3.89,3.89
10,3.89,3.89
11,3.89,3.89
12,3.89,3.89
13,3.89,3.89
14,3.89,3.89
15,3.89,3.89
16,3.89,3.89
17,3.89,3.89
18,3.89,3.89
19,3.89,3.89
20,3.89,3.89
21,3.89,3.89
22,3.89,3.89
23,3.89,3.89
24,3.89,3.89
25,3.89,3.89
26,3.89,3.89
27,3.89,3.89
28,3.89,3.89
29,3.89,3.89
30,3.89,3.89
31,3.89,3.89
32,3.89,3.89
33,3.89,3.89
34,3.89,3.89
35,3.89,3.89
36,3.89,3.89
37,3.89,3.89
38,3.89,3.89
39,3.89,3.89
40,3.89,3.89
41,3.89,3.89
42,3.89,3.89
43,3.89,3.89
44,3.89,3.89
45,3.89,3.89
46,3.89,3.89
47,3.89,3.89
48,3.89,3.89
49,3.89,3.89
50,3.89,3.89
51,3.89,3.89
52,3.89,3.89
53,3.89,3.89
54,3.89,3.89
55,3.89,3.89
56,3.89,3.89
57,3.89,3.89
58,3.89,3.89
59,3.89,3.89
60,3.89,3.89
61,3.89,3.89
62,3.89,3.89
63,3.89,3.89
64,3.89,3.89
65,3.89,3.89
66,3.89,3.89
67,3.89,3.89
68,3.89,3.89
69,3.89,3.89
70,3.89,3.89
71,3.89,3.89
72,3.89,3.89
73,3.89,3.89
74,3.89,3.89
75,3.89,3.89
76,3.89,3.89
77,3.89,3.89
78,3.89,3.89
79,3.89,3.89
80,3.89,3.89
81,3.89,3.89
82,3.89,3.89
83,3.89,3.89
84,3.89,3.89
85,3.89,3.89
86,3.89,3.89
87,3.89,3.89
88,3.89,3.89
89,3.89,3.89
90,3.89,3.89
91,3.89,3.89
92,3.89,3.89
93,3.89,3.89
94,3.89,3.89
95,3.89,3.89
96,3.89,3.89
97,3.89,3.89
98,3.89,3.89
99,3.89,3.89
100,3.89,3.89
101,3.89,3.89
102,3.89,3.89
103,3.89,3.89
104,3.89,3.89
105,3.89,3.89
106,3.89,3.89
107,3.89,3.89
108,3.89,3.89
109,3.89,3.89
110,3.89,3.89
