Age,Male,Female
0,1.18,1.24
1,1.18,1.24
2,1.18,1.24
3,1.18,1.24
4,1.18,1.24
5,1.18,1.24
6,1.18,1.24
7,1.18,1.24
8,1.18,1.24
9,1.18,1.24
10,1.18,1.24
11,1.18,1.24
12,1.18,1.24
13,1.18,1.24
14,1.18,1.24
15,1.18,1.24
16,1.18,1.24
17,1.18,1.24
18,1.18,1.24
19,1.18,1.24
20,1.18,1.24
21,1.18,1.24
22,1.18,1.24
23,1.18,1.24
24,1.18,1.24
25,1.18,1.24
26,1.18,1.24
27,1.18,1.24
28,1.18,1.24
29,1.18,1.24
30,1.18,1.24
31,1.18,1.24
32,1.18,1.24
33,1.18,1.24
34,1.18,1.24
35,1.18,1.24
36,1.18,1.24
37,1.18,1.24
38,1.18,1.24
39,1.18,1.24
40,1.18,1.24
41,1.18,1.24
42,1.18,1.24
43,1.18,1.24
44,1.18,1.24
45,1.18,1.24
46,1.18,1.24
47,1.18,1.24
48,1.18,1.24
49,1.18,1.24
50,1.18,1.24
51,1.18,1.24
52,1.18,1.24
53,1.18,1.24
54,1.18,1.24
55,1.18,1.24
56,1.18,1.24
57,1.18,1.24
58,1.18,1.24
59,1.18,1.24
60,1.18,1.24
61,1.18,1.24
62,1.18,1.24
63,1.18,1.24
64,1.18,1.24
65,1.18,1.24
66,1.18,1.24
67,1.18,1.24
68,1.18,1.24
69,1.18,1.24
70,1.18,1.24
71,1.18,1.24
72,1.18,1.24
73,1.18,1.24
74,1.18,1.24
75,1.18,1.24
76,1.18,1.24
77,1.18,1.24
78,1.18,1.24
79,1.18,1.24
80,1.18,1.24
81,1.18,1.24
82,1.18,1.24
83,1.18,1.24
84,1.18,1.24
85,1.18,1.24
86,1.18,1.24
87,1.18,1.24
88,1.18,1.24
89,1.18,1.24
90,1.18,1.24
91,1.18,1.24
92,1.18,1.24
93,1.18,1.24
94,1.18,1.24
95,1.18,1.24
96,1.18,1.24
97,1.18,1.24
98,1.18,1.24
99,1.18,1.24
100,1.18,1.24
101,1.18,1.24
102,1.18,1.24
103,1.18,1.24
104,1.18,1.24
105,1.18,1.24
106,1.18,1.24
107,1.18,1.24
108,1.18,1.24
109,1.18,1.24
110,1.18,1.24
