Age,Male,Female
0,1.76,1.85
1,1.76,1.85
2,1.76,1.85
3,1.76,1.85
4,1.76,1.85
5,1.76,1.85
6,1.76,1.85
7,1.76,1.85
8,1.76,1.85
9,1.76,1.85
10,1.76,1.85
11,1.76,1.85
12,1.76,1.85
13,1.76,1.85
14,1.76,1.85
15,1.76,1.85
16,1.76,1.85
17,1.76,1.85
18,1.76,1.85
19,1.76,1.85
20,1.76,1.85
21,1.76,1.85
22,1.76,1.85
23,1.76,1.85
24,1.76,1.85
25,1.76,1.85
26,1.76,1.85
27,1.76,1.85
28,1.76,1.85
29,1.76,1.85
30,1.76,1.85
31,1.76,1.85
32,1.76,1.85
33,1.76,1.85
34,1.76,1.85
35,1.76,1.85
36,1.76,1.85
37,1.76,1.85
38,1.76,1.85
39,1.76,1.85
40,1.76,1.85
41,1.76,1.85
42,1.76,1.85
43,1.76,1.85
44,1.76,1.85
45,1.76,1.85
46,1.76,1.85
47,1.76,1.85
48,1.76,1.85
49,1.76,1.85
50,1.76,1.85
51,1.76,1.85
52,1.76,1.85
53,1.76,1.85
54,1.76,1.85
55,1.76,1.85
56,1.76,1.85
57,1.76,1.85
58,1.76,1.85
59,1.76,1.85
60,1.76,1.85
61,1.76,1.85
62,1.76,1.85
63,1.76,1.85
64,1.76,1.85
65,1.76,1.85
66,1.76,1.85
67,1.76,1.85
68,1.76,1.85
69,1.76,1.85
70,1.76,1.85
71,1.76,1.85
72,1.76,1.85
73,1.76,1.85
74,1.76,1.85
75,1.76,1.85
76,1.76,1.85
77,1.76,1.85
78,1.76,1.85
79,1.76,1.85
80,1.76,1.85
81,1.76,1.85
82,1.76,1.85
83,1.76,1.85
84,1.76,1.85
85,1.76,1.85
86,1.76,1.85
87,1.76,1.85
88,1.76,1.85
89,1.76,1.85
90,1.76,1.85
91,1.76,1.85
92,1.76,1.85
93,1.76,1.85
94,1.76,1.85
95,1.76,1.85
96,1.76,1.85
97,1.76,1.85
98,1.76,1.85
99,1.76,1.85
100,1.76,1.85
101,1.76,1.85
102,1.76,1.85
103,1.76,1.85
104,1.76,1.85
105,1.76,1.85
106,1.76,1.85
107,1.76,1.85
108,1.76,1.85
109,1.76,1.85
110,1.76,1.85
