Age,Male,Female
0,10.25,10.25
1,10.25,10.25
2,10.25,10.25
3,10.25,10.25
4,10.25,10.25
5,10.25,10.25
6,10.25,10.25
7,10.25,10.25
8,10.25,10.25
9,10.25,10.25
10,10.25,10.25
11,10.25,10.25
12,10.25,10.25
13,10.25,10.25
14,10.25,10.25
15,10.25,10.25
16,10.25,10.25
17,10.25,10.25
18,10.25,10.25
19,10.25,10.25
20,10.25,10.25
21,10.25,10.25
22,10.25,10.25
23,10.25,10.25
24,10.25,10.25
25,10.25,10.25
26,10.25,10.25
27,10.25,10.25
28,10.25,10.25
29,10.25,10.25
30,10.25,10.25
31,10.25,10.25
32,10.25,10.25
33,10.25,10.25
34,10.25,10.25
35,10.25,10.25
36,10.25,10.25
37,10.25,10.25
38,10.25,10.25
39,10.25,10.25
40,10.25,10.25
41,10.25,10.25
42,10.25,10.25
43,10.25,10.25
44,10.25,10.25
45,10.25,10.25
46,10.25,10.25
47,10.25,10.25
48,10.25,10.25
49,10.25,10.25
50,10.25,10.25
51,10.25,10.25
52,10.25,10.25
53,10.25,10.25
54,10.25,10.25
55,10.25,10.25
56,10.25,10.25
57,10.25,10.25
58,10.25,10.25
59,10.25,10.25
60,10.25,10.25
61,10.25,10.25
62,10.25,10.25
63,10.25,10.25
64,10.25,10.25
65,10.25,10.25
66,10.25,10.25
67,10.25,10.25
68,10.25,10.25
69,10.25,10.25
70,10.25,10.25
71,10.25,10.25
72,10.25,10.25
73,10.25,10.25
74,10.25,10.25
75,10.25,10.25
76,10.25,10.25
77,10.25,10.25
78,10.25,10.25
79,10.25,10.25
80,10.25,10.25
81,10.25,10.25
82,10.25,10.25
83,10.25,10.25
84,10.25,10.25
85,10.25,10.25
86,10.25,10.25
87,10.25,10.25
88,10.25,10.25
89,10.25,10.25
90,10.25,10.25
91,10.25,10.25
92,10.25,10.25
93,10.25,10.25
94,10.25,10.25
95,10.25,10.25
96,10.25,10.25
97,10.25,10.25
98,10.25,10.25
99,10.25,10.25
100,10.25,10.25
101,10.25,10.25
102,10.25,10.25
103,10.25,10.25
104,10.25,10.25
105,10.25,10.25
106,10.25,10.25
107,10.25,10.25
108,10.25,10.25
109,10.25,10.25
110,10.25,10.25
