Age,Male,Female
0,3.04,3.04
1,3.04,3.04
2,3.04,3.04
3,3.04,3.04
4,3.04,3.04
5,3.04,3.04
6,3.04,3.04
7,3.04,3.04
8,3.04,3.04
9,3.04,3.04
10,3.04,3.04
11,3.04,3.04
12,3.04,3.04
13,3.04,3.04
14,3.04,3.04
15,3.04,3.04
16,3.04,3.04
17,3.04,3.04
18,3.04,3.04
19,3.04,3.04
20,3.04,3.04
21,3.04,3.04
22,3.04,3.04
23,3.04,3.04
24,3.04,3.04
25,3.04,3.04
26,3.04,3.04
27,3.04,3.04
28,3.04,3.04
29,3.04,3.04
30,3.04,3.04
31,3.04,3.04
32,3.04,3.04
33,3.04,3.04
34,3.04,3.04
35,3.04,3.04
36,3.04,3.04
37,3.04,3.04
38,3.04,3.04
39,3.04,3.04
40,3.04,3.04
41,3.04,3.04
42,3.04,3.04
43,3.04,3.04
44,3.04,3.04
45,3.04,3.04
46,3.04,3.04
47,3.04,3.04
48,3.04,3.04
49,3.04,3.04
50,3.04,3.04
51,3.04,3.04
52,3.04,3.04
53,3.04,3.04
54,3.04,3.04
55,3.04,3.04
56,3.04,3.04
57,3.04,3.04
58,3.04,3.04
59,3.04,3.04
60,3.04,3.04
61,3.04,3.04
62,3.04,3.04
63,3.04,3.04
64,3.04,3.04
65,3.04,3.04
66,3.04,3.04
67,3.04,3.04
68,3.04,3.04
69,3.04,3.04
70,3.04,3.04
71,3.04,3.04
72,3.04,3.04
73,3.04,3.04
74,3.04,3.04
75,3.04,3.04
76,3.04,3.04
77,3.04,3.04
78,3.04,3.04
79,3.04,3.04
80,3.04,3.04
81,3.04,3.04
82,3.04,3.04
83,3.04,3.04
84,3.04,3.04
85,3.04,3.04
86,3.04,3.04
87,3.04,3.04
88,3.04,3.04
89,3.04,3.04
90,3.04,3.04
91,3.04,3.04
92,3.04,3.04
93,3.04,3.04
94,3.04,3.04
95,3.04,3.04
96,3.04,3.04
97,3.04,3.04
98,3.04,3.04
99,3.04,3.04
100,3.04,3.04
101,3.04,3.04
102,3.04,3.04
103,3.04,3.04
104,3.04,3.04
105,3.04,3.04
106,3.04,3.04
107,3.04,3.04
108,3.04,3.04
109,3.04,3.04
110,3.04,3.04
