Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,5.4,5.4
13,5.4,5.4
14,5.4,5.4
15,5.4,5.4
16,5.4,5.4
17,5.4,5.4
18,3.36,3.36
19,3.36,3.36
20,3.36,3.36
21,3.36,3.36
22,3.36,3.36
23,3.36,3.36
24,3.36,3.36
25,3.36,3.36
26,3.36,3.36
27,3.36,3.36
28,3.36,3.36
29,3.36,3.36
30,3.36,3.36
31,3.36,3.36
32,3.36,3.36
33,3.36,3.36
34,3.36,3.36
35,3.36,3.36
36,3.36,3.36
37,3.36,3.36
38,3.36,3.36
39,3.36,3.36
40,3.36,3.36
41,3.36,3.36
42,3.36,3.36
43,3.36,3.36
44,3.36,3.36
45,3.36,3.36
46,3.36,3.36
47,3.36,3.36
48,3.36,3.36
49,3.36,3.36
50,3.36,3.36
51,3.36,3.36
52,3.36,3.36
53,3.36,3.36
54,3.36,3.36
55,3.36,3.36
56,3.36,3.36
57,3.36,3.36
58,3.36,3.36
59,3.36,3.36
60,3.36,3.36
61,3.36,3.36
62,3.36,3.36
63,3.36,3.36
64,3.36,3.36
65,3.36,3.36
66,3.36,3.36
67,3.36,3.36
68,3.36,3.36
69,3.36,3.36
70,3.36,3.36
71,3.36,3.36
72,3.36,3.36
73,3.36,3.36
74,3.36,3.36
75,3.36,3.36
76,3.36,3.36
77,3.36,3.36
78,3.36,3.36
79,3.36,3.36
80,3.36,3.36
81,3.36,3.36
82,3.36,3.36
83,3.36,3.36
84,3.36,3.36
85,3.36,3.36
86,3.36,3.36
87,3.36,3.36
88,3.36,3.36
89,3.36,3.36
90,3.36,3.36
91,3.36,3.36
92,3.36,3.36
93,3.36,3.36
94,3.36,3.36
95,3.36,3.36
96,3.36,3.36
97,3.36,3.36
98,3.36,3.36
99,3.36,3.36
100,3.36,3.36
101,3.36,3.36
102,3.36,3.36
103,3.36,3.36
104,3.36,3.36
105,3.36,3.36
106,3.36,3.36
107,3.36,3.36
108,3.36,3.36
109,3.36,3.36
110,3.36,3.36
