Age,Male,Female
0,1.63,1.63
1,1.63,1.63
2,1.63,1.63
3,1.63,1.63
4,1.63,1.63
5,1.63,1.63
6,1.63,1.63
7,1.63,1.63
8,1.63,1.63
9,1.63,1.63
10,1.63,1.63
11,1.63,1.63
12,1.63,1.63
13,1.63,1.63
14,1.63,1.63
15,1.63,1.63
16,1.63,1.63
17,1.63,1.63
18,1.63,1.63
19,1.63,1.63
20,1.63,1.63
21,1.63,1.63
22,1.63,1.63
23,1.63,1.63
24,1.63,1.63
25,1.63,1.63
26,1.63,1.63
27,1.63,1.63
28,1.63,1.63
29,1.63,1.63
30,1.63,1.63
31,1.63,1.63
32,1.63,1.63
33,1.63,1.63
34,1.63,1.63
35,1.63,1.63
36,1.63,1.63
37,1.63,1.63
38,1.63,1.63
39,1.63,1.63
40,1.63,1.63
41,1.63,1.63
42,1.63,1.63
43,1.63,1.63
44,1.63,1.63
45,1.63,1.63
46,1.63,1.63
47,1.63,1.63
48,1.63,1.63
49,1.63,1.63
50,1.63,1.63
51,1.63,1.63
52,1.63,1.63
53,1.63,1.63
54,1.63,1.63
55,1.63,1.63
56,1.63,1.63
57,1.63,1.63
58,1.63,1.63
59,1.63,1.63
60,1.63,1.63
61,1.63,1.63
62,1.63,1.63
63,1.63,1.63
64,1.63,1.63
65,1.63,1.63
66,1.63,1.63
67,1.63,1.63
68,1.63,1.63
69,1.63,1.63
70,1.63,1.63
71,1.63,1.63
72,1.63,1.63
73,1.63,1.63
74,1.63,1.63
75,1.63,1.63
76,1.63,1.63
77,1.63,1.63
78,1.63,1.63
79,1.63,1.63
80,1.63,1.63
81,1.63,1.63
82,1.63,1.63
83,1.63,1.63
84,1.63,1.63
85,1.63,1.63
86,1.63,1.63
87,1.63,1.63
88,1.63,1.63
89,1.63,1.63
90,1.63,1.63
91,1.63,1.63
92,1.63,1.63
93,1.63,1.63
94,1.63,1.63
95,1.63,1.63
96,1.63,1.63
97,1.63,1.63
98,1.63,1.63
99,1.63,1.63
100,1.63,1.63
101,1.63,1.63
102,1.63,1.63
103,1.63,1.63
104,1.63,1.63
105,1.63,1.63
106,1.63,1.63
107,1.63,1.63
108,1.63,1.63
109,1.63,1.63
110,1.63,1.63
