Age,Male,Female
0,5.06,5.06
1,5.06,5.06
2,5.06,5.06
3,5.06,5.06
4,5.06,5.06
5,5.06,5.06
6,5.06,5.06
7,5.06,5.06
8,5.06,5.06
9,5.06,5.06
10,5.06,5.06
11,5.06,5.06
12,5.06,5.06
13,5.06,5.06
14,5.06,5.06
15,5.06,5.06
16,5.06,5.06
17,5.06,5.06
18,5.06,5.06
19,5.06,5.06
20,5.06,5.06
21,5.06,5.06
22,5.06,5.06
23,5.06,5.06
24,5.06,5.06
25,5.06,5.06
26,5.06,5.06
27,5.06,5.06
28,5.06,5.06
29,5.06,5.06
30,5.06,5.06
31,5.06,5.06
32,5.06,5.06
33,5.06,5.06
34,5.06,5.06
35,5.06,5.06
36,5.06,5.06
37,5.06,5.06
38,5.06,5.06
39,5.06,5.06
40,5.06,5.06
41,5.06,5.06
42,5.06,5.06
43,5.06,5.06
44,5.06,5.06
45,5.06,5.06
46,5.06,5.06
47,5.06,5.06
48,5.06,5.06
49,5.06,5.06
50,5.06,5.06
51,5.06,5.06
52,5.06,5.06
53,5.06,5.06
54,5.06,5.06
55,5.06,5.06
56,5.06,5.06
57,5.06,5.06
58,5.06,5.06
59,5.06,5.06
60,5.06,5.06
61,5.06,5.06
62,5.06,5.06
63,5.06,5.06
64,5.06,5.06
65,5.06,5.06
66,5.06,5.06
67,5.06,5.06
68,5.06,5.06
69,5.06,5.06
70,5.06,5.06
71,5.06,5.06
72,5.06,5.06
73,5.06,5.06
74,5.06,5.06
75,5.06,5.06
76,5.06,5.06
77,5.06,5.06
78,5.06,5.06
79,5.06,5.06
80,5.06,5.06
81,5.06,5.06
82,5.06,5.06
83,5.06,5.06
84,5.06,5.06
85,5.06,5.06
86,5.06,5.06
87,5.06,5.06
88,5.06,5.06
89,5.06,5.06
90,5.06,5.06
91,5.06,5.06
92,5.06,5.06
93,5.06,5.06
94,5.06,5.06
95,5.06,5.06
96,5.06,5.06
97,5.06,5.06
98,5.06,5.06
99,5.06,5.06
100,5.06,5.06
101,5.06,5.06
102,5.06,5.06
103,5.06,5.06
104,5.06,5.06
105,5.06,5.06
106,5.06,5.06
107,5.06,5.06
108,5.06,5.06
109,5.06,5.06
110,5.06,5.06
