Age,Male,Female
0,3.09,3.09
1,3.09,3.09
2,3.09,3.09
3,3.09,3.09
4,3.09,3.09
5,3.09,3.09
6,3.09,3.09
7,3.09,3.09
8,3.09,3.09
9,3.09,3.09
10,3.09,3.09
11,3.09,3.09
12,3.09,3.09
13,3.09,3.09
14,3.09,3.09
15,3.09,3.09
16,3.09,3.09
17,3.09,3.09
18,3.09,3.09
19,3.09,3.09
20,3.09,3.09
21,3.09,3.09
22,3.09,3.09
23,3.09,3.09
24,3.09,3.09
25,3.09,3.09
26,3.09,3.09
27,3.09,3.09
28,3.09,3.09
29,3.09,3.09
30,3.09,3.09
31,3.09,3.09
32,3.09,3.09
33,3.09,3.09
34,3.09,3.09
35,3.09,3.09
36,3.09,3.09
37,3.09,3.09
38,3.09,3.09
39,3.09,3.09
40,3.09,3.09
41,3.09,3.09
42,3.09,3.09
43,3.09,3.09
44,3.09,3.09
45,3.09,3.09
46,3.09,3.09
47,3.09,3.09
48,3.09,3.09
49,3.09,3.09
50,3.09,3.09
51,3.09,3.09
52,3.09,3.09
53,3.09,3.09
54,3.09,3.09
55,3.09,3.09
56,3.09,3.09
57,3.09,3.09
58,3.09,3.09
59,3.09,3.09
60,3.09,3.09
61,3.09,3.09
62,3.09,3.09
63,3.09,3.09
64,3.09,3.09
65,3.09,3.09
66,3.09,3.09
67,3.09,3.09
68,3.09,3.09
69,3.09,3.09
70,3.09,3.09
71,3.09,3.09
72,3.09,3.09
73,3.09,3.09
74,3.09,3.09
75,3.09,3.09
76,3.09,3.09
77,3.09,3.09
78,3.09,3.09
79,3.09,3.09
80,3.09,3.09
81,3.09,3.09
82,3.09,3.09
83,3.09,3.09
84,3.09,3.09
85,3.09,3.09
86,3.09,3.09
87,3.09,3.09
88,3.09,3.09
89,3.09,3.09
90,3.09,3.09
91,3.09,3.09
92,3.09,3.09
93,3.09,3.09
94,3.09,3.09
95,3.09,3.09
96,3.09,3.09
97,3.09,3.09
98,3.09,3.09
99,3.09,3.09
100,3.09,3.09
101,3.09,3.09
102,3.09,3.09
103,3.09,3.09
104,3.09,3.09
105,3.09,3.09
106,3.09,3.09
107,3.09,3.09
108,3.09,3.09
109,3.09,3.09
110,3.09,3.09
