Age,Male,Female
0,1,1.99
1,1,1.99
2,1,1.99
3,1,1.99
4,1,1.99
5,1,1.99
6,1,1.99
7,1,1.99
8,1,1.99
9,1,1.99
10,1,1.99
11,1,1.99
12,1,1.99
13,1,1.99
14,1,1.99
15,1,1.99
16,1,1.99
17,1,1.99
18,1,1.99
19,1,1.99
20,1,1.99
21,1,1.99
22,1,1.99
23,1,1.99
24,1,1.99
25,1,1.99
26,1,1.99
27,1,1.99
28,1,1.99
29,1,1.99
30,1,1.99
31,1,1.99
32,1,1.99
33,1,1.99
34,1,1.99
35,1,1.99
36,1,1.99
37,1,1.99
38,1,1.99
39,1,1.99
40,1,1.99
41,1,1.99
42,1,1.99
43,1,1.99
44,1,1.99
45,1,1.99
46,1,1.99
47,1,1.99
48,1,1.99
49,1,1.99
50,1,1.99
51,1,1.99
52,1,1.99
53,1,1.99
54,1,1.99
55,1,1.99
56,1,1.99
57,1,1.99
58,1,1.99
59,1,1.99
60,1,1.99
61,1,1.99
62,1,1.99
63,1,1.99
64,1,1.99
65,1,1.99
66,1,1.99
67,1,1.99
68,1,1.99
69,1,1.99
70,1,1.99
71,1,1.99
72,1,1.99
73,1,1.99
74,1,1.99
75,1,1.99
76,1,1.99
77,1,1.99
78,1,1.99
79,1,1.99
80,1,1.99
81,1,1.99
82,1,1.99
83,1,1.99
84,1,1.99
85,1,1.99
86,1,1.99
87,1,1.99
88,1,1.99
89,1,1.99
90,1,1.99
91,1,1.99
92,1,1.99
93,1,1.99
94,1,1.99
95,1,1.99
96,1,1.99
97,1,1.99
98,1,1.99
99,1,1.99
100,1,1.99
101,1,1.99
102,1,1.99
103,1,1.99
104,1,1.99
105,1,1.99
106,1,1.99
107,1,1.99
108,1,1.99
109,1,1.99
110,1,1.99
