Age,Male,Female
0,1.91,1.91
1,1.91,1.91
2,1.91,1.91
3,1.91,1.91
4,1.91,1.91
5,1.91,1.91
6,1.91,1.91
7,1.91,1.91
8,1.91,1.91
9,1.91,1.91
10,1.91,1.91
11,1.91,1.91
12,1.91,1.91
13,1.91,1.91
14,1.91,1.91
15,1.91,1.91
16,1.91,1.91
17,1.91,1.91
18,1.91,1.91
19,1.91,1.91
20,1.91,1.91
21,1.91,1.91
22,1.91,1.91
23,1.91,1.91
24,1.91,1.91
25,1.91,1.91
26,1.91,1.91
27,1.91,1.91
28,1.91,1.91
29,1.91,1.91
30,1.91,1.91
31,1.91,1.91
32,1.91,1.91
33,1.91,1.91
34,1.91,1.91
35,1.91,1.91
36,1.91,1.91
37,1.91,1.91
38,1.91,1.91
39,1.91,1.91
40,1.91,1.91
41,1.91,1.91
42,1.91,1.91
43,1.91,1.91
44,1.91,1.91
45,1.91,1.91
46,1.91,1.91
47,1.91,1.91
48,1.91,1.91
49,1.91,1.91
50,1.91,1.91
51,1.91,1.91
52,1.91,1.91
53,1.91,1.91
54,1.91,1.91
55,1.91,1.91
56,1.91,1.91
57,1.91,1.91
58,1.91,1.91
59,1.91,1.91
60,1.91,1.91
61,1.91,1.91
62,1.91,1.91
63,1.91,1.91
64,1.91,1.91
65,1.91,1.91
66,1.91,1.91
67,1.91,1.91
68,1.91,1.91
69,1.91,1.91
70,1.91,1.91
71,1.91,1.91
72,1.91,1.91
73,1.91,1.91
74,1.91,1.91
75,1.91,1.91
76,1.91,1.91
77,1.91,1.91
78,1.91,1.91
79,1.91,1.91
80,1.91,1.91
81,1.91,1.91
82,1.91,1.91
83,1.91,1.91
84,1.91,1.91
85,1.91,1.91
86,1.91,1.91
87,1.91,1.91
88,1.91,1.91
89,1.91,1.91
90,1.91,1.91
91,1.91,1.91
92,1.91,1.91
93,1.91,1.91
94,1.91,1.91
95,1.91,1.91
96,1.91,1.91
97,1.91,1.91
98,1.91,1.91
99,1.91,1.91
100,1.91,1.91
101,1.91,1.91
102,1.91,1.91
103,1.91,1.91
104,1.91,1.91
105,1.91,1.91
106,1.91,1.91
107,1.91,1.91
108,1.91,1.91
109,1.91,1.91
110,1.91,1.91
