location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
356,India,Asthma,2019,5,1 to 4,1,False,1,Male,5,Prevalence,0.018627494838978593,0.027145269486184016,0.00819757798537577
356,India,Asthma,2019,5,1 to 4,2,True,1,Male,5,Prevalence,0.01898597931311316,0.027145269486184016,0.00819757798537577
356,India,Asthma,2019,5,1 to 4,3,True,1,Male,5,Prevalence,0.019475016326920128,0.027145269486184016,0.00819757798537577
356,India,Asthma,2019,5,1 to 4,4,True,1,Male,5,Prevalence,0.020042810474145342,0.027145269486184016,0.00819757798537577
356,India,Asthma,2019,5,1 to 4,1,False,1,Male,6,Incidence,0.018627494838978593,0.015719576066034295,0.005023872739905974
356,India,Asthma,2019,5,1 to 4,2,True,1,Male,6,Incidence,0.003931252444420061,0.015719576066034295,0.005023872739905974
356,India,Asthma,2019,5,1 to 4,3,True,1,Male,6,Incidence,0.004173358237902477,0.015719576066034295,0.005023872739905974
356,India,Asthma,2019,5,1 to 4,4,True,1,Male,6,Incidence,0.00439790861066108,0.015719576066034295,0.005023872739905974
356,India,Asthma,2019,5,1 to 4,1,False,1,Male,7,remission,0.18640148587642114,0.26195619911035717,0.16168429679977978
356,India,Asthma,2019,5,1 to 4,2,True,1,Male,7,remission,0.18785664282104172,0.26195619911035717,0.16168429679977978
356,India,Asthma,2019,5,1 to 4,3,True,1,Male,7,remission,0.18986853703594186,0.26195619911035717,0.16168429679977978
356,India,Asthma,2019,5,1 to 4,4,True,1,Male,7,remission,0.19225717131293715,0.26195619911035717,0.16168429679977978
356,India,Asthma,2019,5,1 to 4,1,False,1,Male,15,mortality,1.2830907251009991E-05,2.434875876867989E-05,8.937870656271906E-06
356,India,Asthma,2019,5,1 to 4,2,True,1,Male,15,mortality,1.2881015488674012E-05,2.434875876867989E-05,8.937870656271906E-06
356,India,Asthma,2019,5,1 to 4,3,True,1,Male,15,mortality,1.2947161954389817E-05,2.434875876867989E-05,8.937870656271906E-06
356,India,Asthma,2019,5,1 to 4,4,True,1,Male,15,mortality,1.3020330650755202E-05,2.434875876867989E-05,8.937870656271906E-06
356,India,Asthma,2019,5,1 to 4,1,False,2,Female,5,Prevalence,0.01057593506422901,0.015078346449648249,0.00504017153937155
356,India,Asthma,2019,5,1 to 4,2,True,2,Female,5,Prevalence,0.010771719680519104,0.015078346449648249,0.00504017153937155
356,India,Asthma,2019,5,1 to 4,3,True,2,Female,5,Prevalence,0.01104018018092374,0.015078346449648249,0.00504017153937155
356,India,Asthma,2019,5,1 to 4,4,True,2,Female,5,Prevalence,0.011354435090790045,0.015078346449648249,0.00504017153937155
356,India,Asthma,2019,5,1 to 4,1,False,2,Female,6,Incidence,0.01057593506422901,0.008654727564035519,0.0028688241713346113
356,India,Asthma,2019,5,1 to 4,2,True,2,Female,6,Incidence,0.0023507154491936967,0.008654727564035519,0.0028688241713346113
356,India,Asthma,2019,5,1 to 4,3,True,2,Female,6,Incidence,0.0024918482452342436,0.008654727564035519,0.0028688241713346113
356,India,Asthma,2019,5,1 to 4,4,True,2,Female,6,Incidence,0.0026277641217011894,0.008654727564035519,0.0028688241713346113
356,India,Asthma,2019,5,1 to 4,1,False,2,Female,7,remission,0.1995894930584686,0.27022392803523265,0.17625722503535093
356,India,Asthma,2019,5,1 to 4,2,True,2,Female,7,remission,0.20139444275771434,0.27022392803523265,0.17625722503535093
356,India,Asthma,2019,5,1 to 4,3,True,2,Female,7,remission,0.20390503662810444,0.27022392803523265,0.17625722503535093
356,India,Asthma,2019,5,1 to 4,4,True,2,Female,7,remission,0.20691290409107807,0.27022392803523265,0.17625722503535093
356,India,Asthma,2019,5,1 to 4,1,False,2,Female,15,mortality,1.2749631483744284E-05,2.442875568787408E-05,9.357046600551933E-06
356,India,Asthma,2019,5,1 to 4,2,True,2,Female,15,mortality,1.2790363732012464E-05,2.442875568787408E-05,9.357046600551933E-06
