Age,Male,Female
0,1.08,1.08
1,1.08,1.08
2,1.08,1.08
3,1.08,1.08
4,1.08,1.08
5,1.08,1.08
6,1.08,1.08
7,1.08,1.08
8,1.08,1.08
9,1.08,1.08
10,1.08,1.08
11,1.08,1.08
12,1.08,1.08
13,1.08,1.08
14,1.08,1.08
15,1.08,1.08
16,1.08,1.08
17,1.08,1.08
18,1.08,1.08
19,1.08,1.08
20,1.08,1.08
21,1.08,1.08
22,1.08,1.08
23,1.08,1.08
24,1.08,1.08
25,1.08,1.08
26,1.08,1.08
27,1.08,1.08
28,1.08,1.08
29,1.08,1.08
30,1.08,1.08
31,1.08,1.08
32,1.08,1.08
33,1.08,1.08
34,1.08,1.08
35,1.08,1.08
36,1.08,1.08
37,1.08,1.08
38,1.08,1.08
39,1.08,1.08
40,1.08,1.08
41,1.08,1.08
42,1.08,1.08
43,1.08,1.08
44,1.08,1.08
45,1.08,1.08
46,1.08,1.08
47,1.08,1.08
48,1.08,1.08
49,1.08,1.08
50,1.08,1.08
51,1.08,1.08
52,1.08,1.08
53,1.08,1.08
54,1.08,1.08
55,1.08,1.08
56,1.08,1.08
57,1.08,1.08
58,1.08,1.08
59,1.08,1.08
60,1.08,1.08
61,1.08,1.08
62,1.08,1.08
63,1.08,1.08
64,1.08,1.08
65,1.08,1.08
66,1.08,1.08
67,1.08,1.08
68,1.08,1.08
69,1.08,1.08
70,1.08,1.08
71,1.08,1.08
72,1.08,1.08
73,1.08,1.08
74,1.08,1.08
75,1.08,1.08
76,1.08,1.08
77,1.08,1.08
78,1.08,1.08
79,1.08,1.08
80,1.08,1.08
81,1.08,1.08
82,1.08,1.08
83,1.08,1.08
84,1.08,1.08
85,1.08,1.08
86,1.08,1.08
87,1.08,1.08
88,1.08,1.08
89,1.08,1.08
90,1.08,1.08
91,1.08,1.08
92,1.08,1.08
93,1.08,1.08
94,1.08,1.08
95,1.08,1.08
96,1.08,1.08
97,1.08,1.08
98,1.08,1.08
99,1.08,1.08
100,1.08,1.08
101,1.08,1.08
102,1.08,1.08
103,1.08,1.08
104,1.08,1.08
105,1.08,1.08
106,1.08,1.08
107,1.08,1.08
108,1.08,1.08
109,1.08,1.08
110,1.08,1.08
