Age,Male,Female
0,2.13,2.13
1,2.13,2.13
2,2.13,2.13
3,2.13,2.13
4,2.13,2.13
5,2.13,2.13
6,2.13,2.13
7,2.13,2.13
8,2.13,2.13
9,2.13,2.13
10,2.13,2.13
11,2.13,2.13
12,2.13,2.13
13,2.13,2.13
14,2.13,2.13
15,2.13,2.13
16,2.13,2.13
17,2.13,2.13
18,2.13,2.13
19,2.13,2.13
20,2.13,2.13
21,2.13,2.13
22,2.13,2.13
23,2.13,2.13
24,2.13,2.13
25,2.13,2.13
26,2.13,2.13
27,2.13,2.13
28,2.13,2.13
29,2.13,2.13
30,2.13,2.13
31,2.13,2.13
32,2.13,2.13
33,2.13,2.13
34,2.13,2.13
35,2.13,2.13
36,2.13,2.13
37,2.13,2.13
38,2.13,2.13
39,2.13,2.13
40,2.13,2.13
41,2.13,2.13
42,2.13,2.13
43,2.13,2.13
44,2.13,2.13
45,2.13,2.13
46,2.13,2.13
47,2.13,2.13
48,2.13,2.13
49,2.13,2.13
50,2.13,2.13
51,2.13,2.13
52,2.13,2.13
53,2.13,2.13
54,2.13,2.13
55,2.13,2.13
56,2.13,2.13
57,2.13,2.13
58,2.13,2.13
59,2.13,2.13
60,2.13,2.13
61,2.13,2.13
62,2.13,2.13
63,2.13,2.13
64,2.13,2.13
65,2.13,2.13
66,2.13,2.13
67,2.13,2.13
68,2.13,2.13
69,2.13,2.13
70,2.13,2.13
71,2.13,2.13
72,2.13,2.13
73,2.13,2.13
74,2.13,2.13
75,2.13,2.13
76,2.13,2.13
77,2.13,2.13
78,2.13,2.13
79,2.13,2.13
80,2.13,2.13
81,2.13,2.13
82,2.13,2.13
83,2.13,2.13
84,2.13,2.13
85,2.13,2.13
86,2.13,2.13
87,2.13,2.13
88,2.13,2.13
89,2.13,2.13
90,2.13,2.13
91,2.13,2.13
92,2.13,2.13
93,2.13,2.13
94,2.13,2.13
95,2.13,2.13
96,2.13,2.13
97,2.13,2.13
98,2.13,2.13
99,2.13,2.13
100,2.13,2.13
101,2.13,2.13
102,2.13,2.13
103,2.13,2.13
104,2.13,2.13
105,2.13,2.13
106,2.13,2.13
107,2.13,2.13
108,2.13,2.13
109,2.13,2.13
110,2.13,2.13
