Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,0.7
20,1,0.7
21,1,0.7
22,1,0.7
23,1,0.7
24,1,0.7
25,1,0.7
26,1,0.7
27,1,0.7
28,1,0.7
29,1,0.7
30,1,0.7
31,1,0.7
32,1,0.7
33,1,0.7
34,1,0.7
35,1,0.7
36,1,0.7
37,1,0.7
38,1,0.7
39,1,0.7
40,1,0.7
41,1,0.7
42,1,0.7
43,1,0.7
44,1,0.7
45,1,0.7
46,1,0.7
47,1,0.7
48,1,0.7
49,1,0.7
50,1,0.7
51,1,0.7
52,1,0.7
53,1,0.7
54,1,0.7
55,1,0.7
56,1,0.7
57,1,0.7
58,1,0.7
59,1,0.7
60,1,0.7
61,1,0.7
62,1,0.7
63,1,0.7
64,1,0.7
65,1,0.7
66,1,0.7
67,1,0.7
68,1,0.7
69,1,0.7
70,1,0.7
71,1,0.7
72,1,0.7
73,1,0.7
74,1,0.7
75,1,0.7
76,1,0.7
77,1,0.7
78,1,0.7
79,1,0.7
80,1,0.7
81,1,0.7
82,1,0.7
83,1,0.7
84,1,0.7
85,1,0.7
86,1,0.7
87,1,0.7
88,1,0.7
89,1,0.7
90,1,0.7
91,1,0.7
92,1,0.7
93,1,0.7
94,1,0.7
95,1,0.7
96,1,0.7
97,1,0.7
98,1,0.7
99,1,0.7
100,1,0.7
101,1,0.7
102,1,0.7
103,1,0.7
104,1,0.7
105,1,0.7
106,1,0.7
107,1,0.7
108,1,0.7
109,1,0.7
