Age,Male,Female
0,1.25,1.25
1,1.25,1.25
2,1.25,1.25
3,1.25,1.25
4,1.25,1.25
5,1.25,1.25
6,1.25,1.25
7,1.25,1.25
8,1.25,1.25
9,1.25,1.25
10,1.25,1.25
11,1.25,1.25
12,1.25,1.25
13,1.25,1.25
14,1.25,1.25
15,1.25,1.25
16,1.25,1.25
17,1.25,1.25
18,1.25,1.25
19,1.25,1.25
20,1.25,1.25
21,1.25,1.25
22,1.25,1.25
23,1.25,1.25
24,1.25,1.25
25,1.25,1.25
26,1.25,1.25
27,1.25,1.25
28,1.25,1.25
29,1.25,1.25
30,1.25,1.25
31,1.25,1.25
32,1.25,1.25
33,1.25,1.25
34,1.25,1.25
35,1.25,1.25
36,1.25,1.25
37,1.25,1.25
38,1.25,1.25
39,1.25,1.25
40,1.25,1.25
41,1.25,1.25
42,1.25,1.25
43,1.25,1.25
44,1.25,1.25
45,1.25,1.25
46,1.25,1.25
47,1.25,1.25
48,1.25,1.25
49,1.25,1.25
50,1.64,1.64
51,1.64,1.64
52,1.64,1.64
53,1.64,1.64
54,1.64,1.64
55,1.64,1.64
56,1.64,1.64
57,1.64,1.64
58,1.64,1.64
59,1.64,1.64
60,1.64,1.64
61,1.64,1.64
62,1.64,1.64
63,1.64,1.64
64,1.64,1.64
65,1.64,1.64
66,1.64,1.64
67,1.64,1.64
68,1.64,1.64
69,1.64,1.64
70,1.64,1.64
71,1.64,1.64
72,1.64,1.64
73,1.64,1.64
74,1.64,1.64
75,1.64,1.64
76,1.64,1.64
77,1.64,1.64
78,1.64,1.64
79,1.64,1.64
80,1.64,1.64
81,1.64,1.64
82,1.64,1.64
83,1.64,1.64
84,1.64,1.64
85,1.64,1.64
86,1.64,1.64
87,1.64,1.64
88,1.64,1.64
89,1.64,1.64
90,1.64,1.64
91,1.64,1.64
92,1.64,1.64
93,1.64,1.64
94,1.64,1.64
95,1.64,1.64
96,1.64,1.64
97,1.64,1.64
98,1.64,1.64
99,1.64,1.64
100,1.64,1.64
101,1.64,1.64
102,1.64,1.64
103,1.64,1.64
104,1.64,1.64
105,1.64,1.64
106,1.64,1.64
107,1.64,1.64
108,1.64,1.64
109,1.64,1.64
110,1.64,1.64
