Age,Male,Female
0,1,0.72
1,1,0.72
2,1,0.72
3,1,0.72
4,1,0.72
5,1,0.72
6,1,0.72
7,1,0.72
8,1,0.72
9,1,0.72
10,1,0.72
11,1,0.72
12,1,0.72
13,1,0.72
14,1,0.72
15,1,0.72
16,1,0.72
17,1,0.72
18,1,0.72
19,1,0.72
20,1,0.72
21,1,0.72
22,1,0.72
23,1,0.72
24,1,0.72
25,1,0.72
26,1,0.72
27,1,0.72
28,1,0.72
29,1,0.72
30,1,0.72
31,1,0.72
32,1,0.72
33,1,0.72
34,1,0.72
35,1,0.72
36,1,0.72
37,1,0.72
38,1,0.72
39,1,0.72
40,1,0.72
41,1,0.72
42,1,0.72
43,1,0.72
44,1,0.72
45,1,0.72
46,1,0.72
47,1,0.72
48,1,0.72
49,1,0.72
50,1,0.72
51,1,0.72
52,1,1.14
53,1,1.14
54,1,1.14
55,1,1.14
56,1,1.14
57,1,1.14
58,1,1.14
59,1,1.14
60,1,1.14
61,1,1.14
62,1,1.14
63,1,1.14
64,1,1.14
65,1,1.14
66,1,1.14
67,1,1.14
68,1,1.14
69,1,1.14
70,1,1.14
71,1,1.14
72,1,1.14
73,1,1.14
74,1,1.14
75,1,1.14
76,1,1.14
77,1,1.14
78,1,1.14
79,1,1.14
80,1,1.14
81,1,1.14
82,1,1.14
83,1,1.14
84,1,1.14
85,1,1.14
86,1,1.14
87,1,1.14
88,1,1.14
89,1,1.14
90,1,1.14
91,1,1.14
92,1,1.14
93,1,1.14
94,1,1.14
95,1,1.14
96,1,1.14
97,1,1.14
98,1,1.14
99,1,1.14
100,1,1.14
101,1,1.14
102,1,1.14
103,1,1.14
104,1,1.14
105,1,1.14
106,1,1.14
107,1,1.14
108,1,1.14
109,1,1.14
110,1,1.14
