Age,Male,Female
0,1,2.82
1,1,2.82
2,1,2.82
3,1,2.82
4,1,2.82
5,1,2.82
6,1,2.82
7,1,2.82
8,1,2.82
9,1,2.82
10,1,2.82
11,1,2.82
12,1,2.82
13,1,2.82
14,1,2.82
15,1,2.82
16,1,2.82
17,1,2.82
18,1,2.82
19,1,2.82
20,1,2.82
21,1,2.82
22,1,2.82
23,1,2.82
24,1,2.82
25,1,2.82
26,1,2.82
27,1,2.82
28,1,2.82
29,1,2.82
30,1,2.82
31,1,2.82
32,1,2.82
33,1,2.82
34,1,2.82
35,1,2.82
36,1,2.82
37,1,2.82
38,1,2.82
39,1,2.82
40,1,2.82
41,1,2.82
42,1,2.82
43,1,2.82
44,1,2.82
45,1,2.82
46,1,2.82
47,1,2.82
48,1,2.82
49,1,2.82
50,1,2.82
51,1,2.82
52,1,2.82
53,1,2.82
54,1,2.82
55,1,2.82
56,1,2.82
57,1,2.82
58,1,2.82
59,1,2.82
60,1,2.82
61,1,2.82
62,1,2.82
63,1,2.82
64,1,2.82
65,1,2.82
66,1,2.82
67,1,2.82
68,1,2.82
69,1,2.82
70,1,2.82
71,1,2.82
72,1,2.82
73,1,2.82
74,1,2.82
75,1,2.82
76,1,2.82
77,1,2.82
78,1,2.82
79,1,2.82
80,1,2.82
81,1,2.82
82,1,2.82
83,1,2.82
84,1,2.82
85,1,2.82
86,1,2.82
87,1,2.82
88,1,2.82
89,1,2.82
90,1,2.82
91,1,2.82
92,1,2.82
93,1,2.82
94,1,2.82
95,1,2.82
96,1,2.82
97,1,2.82
98,1,2.82
99,1,2.82
100,1,2.82
101,1,2.82
102,1,2.82
103,1,2.82
104,1,2.82
105,1,2.82
106,1,2.82
107,1,2.82
108,1,2.82
109,1,2.82
110,1,2.82
