Age,Male,Female
0,1.44,1.44
1,1.44,1.44
2,1.44,1.44
3,1.44,1.44
4,1.44,1.44
5,1.44,1.44
6,1.44,1.44
7,1.44,1.44
8,1.44,1.44
9,1.44,1.44
10,1.44,1.44
11,1.44,1.44
12,1.44,1.44
13,1.44,1.44
14,1.44,1.44
15,1.44,1.44
16,1.44,1.44
17,1.44,1.44
18,1.44,1.44
19,1.44,1.44
20,1.44,1.44
21,1.44,1.44
22,1.44,1.44
23,1.44,1.44
24,1.44,1.44
25,1.44,1.44
26,1.44,1.44
27,1.44,1.44
28,1.44,1.44
29,1.44,1.44
30,1.44,1.44
31,1.44,1.44
32,1.44,1.44
33,1.44,1.44
34,1.44,1.44
35,1.44,1.44
36,1.44,1.44
37,1.44,1.44
38,1.44,1.44
39,1.44,1.44
40,1.44,1.44
41,1.44,1.44
42,1.44,1.44
43,1.44,1.44
44,1.44,1.44
45,1.44,1.44
46,1.44,1.44
47,1.44,1.44
48,1.44,1.44
49,1.44,1.44
50,1.44,1.44
51,1.44,1.44
52,1.44,1.44
53,1.44,1.44
54,1.44,1.44
55,1.44,1.44
56,1.44,1.44
57,1.44,1.44
58,1.44,1.44
59,1.44,1.44
60,1.44,1.44
61,1.44,1.44
62,1.44,1.44
63,1.44,1.44
64,1.44,1.44
65,1.44,1.44
66,1.44,1.44
67,1.44,1.44
68,1.44,1.44
69,1.44,1.44
70,1.44,1.44
71,1.44,1.44
72,1.44,1.44
73,1.44,1.44
74,1.44,1.44
75,1.44,1.44
76,1.44,1.44
77,1.44,1.44
78,1.44,1.44
79,1.44,1.44
80,1.44,1.44
81,1.44,1.44
82,1.44,1.44
83,1.44,1.44
84,1.44,1.44
85,1.44,1.44
86,1.44,1.44
87,1.44,1.44
88,1.44,1.44
89,1.44,1.44
90,1.44,1.44
91,1.44,1.44
92,1.44,1.44
93,1.44,1.44
94,1.44,1.44
95,1.44,1.44
96,1.44,1.44
97,1.44,1.44
98,1.44,1.44
99,1.44,1.44
100,1.44,1.44
101,1.44,1.44
102,1.44,1.44
103,1.44,1.44
104,1.44,1.44
105,1.44,1.44
106,1.44,1.44
107,1.44,1.44
108,1.44,1.44
109,1.44,1.44
110,1.44,1.44
