Age,Male,Female
0,1.66,1.66
1,1.66,1.66
2,1.66,1.66
3,1.66,1.66
4,1.66,1.66
5,1.66,1.66
6,1.66,1.66
7,1.66,1.66
8,1.66,1.66
9,1.66,1.66
10,1.66,1.66
11,1.66,1.66
12,1.66,1.66
13,1.66,1.66
14,1.66,1.66
15,1.66,1.66
16,1.66,1.66
17,1.66,1.66
18,1.66,1.66
19,1.66,1.66
20,1.66,1.66
21,1.66,1.66
22,1.66,1.66
23,1.66,1.66
24,1.66,1.66
25,1.66,1.66
26,1.66,1.66
27,1.66,1.66
28,1.66,1.66
29,1.66,1.66
30,1.66,1.66
31,1.66,1.66
32,1.66,1.66
33,1.66,1.66
34,1.66,1.66
35,1.66,1.66
36,1.66,1.66
37,1.66,1.66
38,1.66,1.66
39,1.66,1.66
40,1.66,1.66
41,1.66,1.66
42,1.66,1.66
43,1.66,1.66
44,1.66,1.66
45,1.66,1.66
46,1.66,1.66
47,1.66,1.66
48,1.66,1.66
49,1.66,1.66
50,1.66,1.66
51,1.66,1.66
52,1.66,1.66
53,1.66,1.66
54,1.66,1.66
55,1.66,1.66
56,1.66,1.66
57,1.66,1.66
58,1.66,1.66
59,1.66,1.66
60,1.66,1.66
61,1.66,1.66
62,1.66,1.66
63,1.66,1.66
64,1.66,1.66
65,1.66,1.66
66,1.66,1.66
67,1.66,1.66
68,1.66,1.66
69,1.66,1.66
70,1.66,1.66
71,1.66,1.66
72,1.66,1.66
73,1.66,1.66
74,1.66,1.66
75,1.66,1.66
76,1.66,1.66
77,1.66,1.66
78,1.66,1.66
79,1.66,1.66
80,1.66,1.66
81,1.66,1.66
82,1.66,1.66
83,1.66,1.66
84,1.66,1.66
85,1.66,1.66
86,1.66,1.66
87,1.66,1.66
88,1.66,1.66
89,1.66,1.66
90,1.66,1.66
91,1.66,1.66
92,1.66,1.66
93,1.66,1.66
94,1.66,1.66
95,1.66,1.66
96,1.66,1.66
97,1.66,1.66
98,1.66,1.66
99,1.66,1.66
100,1.66,1.66
101,1.66,1.66
102,1.66,1.66
103,1.66,1.66
104,1.66,1.66
105,1.66,1.66
106,1.66,1.66
107,1.66,1.66
108,1.66,1.66
109,1.66,1.66
110,1.66,1.66
