Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1.31,1.31
25,1.31,1.31
26,1.31,1.31
27,1.31,1.31
28,1.31,1.31
29,1.31,1.31
30,1.31,1.31
31,1.31,1.31
32,1.31,1.31
33,1.31,1.31
34,1.31,1.31
35,1.31,1.31
36,1.31,1.31
37,1.31,1.31
38,1.31,1.31
39,1.31,1.31
40,1.31,1.31
41,1.31,1.31
42,1.31,1.31
43,1.31,1.31
44,1.31,1.31
45,1.31,1.31
46,1.31,1.31
47,1.31,1.31
48,1.31,1.31
49,1.31,1.31
50,1.31,1.31
51,1.31,1.31
52,1.31,1.31
53,1.31,1.31
54,1.31,1.31
55,1.31,1.31
56,1.31,1.31
57,1.31,1.31
58,1.31,1.31
59,1.31,1.31
60,1.31,1.31
61,1.31,1.31
62,1.31,1.31
63,1.31,1.31
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
