location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Colorectal cancer,2019,,,1,,1,Male,5,prevalence,1.34E-06,1.34E-06,1.34E-06
D356,India,Colorectal cancer,2019,,,1,,1,Male,6,incidence,2.53E-07,2.53E-07,2.53E-07
D356,India,Colorectal cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,1,,2,Female,5,prevalence,1.49E-06,1.49E-06,1.49E-06
D356,India,Colorectal cancer,2019,,,1,,2,Female,6,incidence,3.03E-07,3.03E-07,3.03E-07
D356,India,Colorectal cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,2,,1,Male,5,prevalence,1.46E-06,1.46E-06,1.46E-06
D356,India,Colorectal cancer,2019,,,2,,1,Male,6,incidence,2.76E-07,2.76E-07,2.76E-07
D356,India,Colorectal cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,2,,2,Female,5,prevalence,1.62E-06,1.62E-06,1.62E-06
D356,India,Colorectal cancer,2019,,,2,,2,Female,6,incidence,3.30E-07,3.30E-07,3.30E-07
D356,India,Colorectal cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,3,,1,Male,5,prevalence,1.64E-06,1.64E-06,1.64E-06
D356,India,Colorectal cancer,2019,,,3,,1,Male,6,incidence,3.09E-07,3.09E-07,3.09E-07
D356,India,Colorectal cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,3,,2,Female,5,prevalence,1.81E-06,1.81E-06,1.81E-06
D356,India,Colorectal cancer,2019,,,3,,2,Female,6,incidence,3.69E-07,3.69E-07,3.69E-07
D356,India,Colorectal cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,4,,1,Male,5,prevalence,1.87E-06,1.87E-06,1.87E-06
D356,India,Colorectal cancer,2019,,,4,,1,Male,6,incidence,3.54E-07,3.54E-07,3.54E-07
D356,India,Colorectal cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,4,,2,Female,5,prevalence,2.07E-06,2.07E-06,2.07E-06
D356,India,Colorectal cancer,2019,,,4,,2,Female,6,incidence,4.21E-07,4.21E-07,4.21E-07
D356,India,Colorectal cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,5,,1,Male,5,prevalence,2.17E-06,2.17E-06,2.17E-06
D356,India,Colorectal cancer,2019,,,5,,1,Male,6,incidence,4.08E-07,4.08E-07,4.08E-07
D356,India,Colorectal cancer,2019,,,5,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,5,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,5,,2,Female,5,prevalence,2.40E-06,2.40E-06,2.40E-06
D356,India,Colorectal cancer,2019,,,5,,2,Female,6,incidence,4.85E-07,4.85E-07,4.85E-07
D356,India,Colorectal cancer,2019,,,5,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,5,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,6,,1,Male,5,prevalence,2.53E-06,2.53E-06,2.53E-06
D356,India,Colorectal cancer,2019,,,6,,1,Male,6,incidence,4.74E-07,4.74E-07,4.74E-07
D356,India,Colorectal cancer,2019,,,6,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,6,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,6,,2,Female,5,prevalence,2.79E-06,2.79E-06,2.79E-06
D356,India,Colorectal cancer,2019,,,6,,2,Female,6,incidence,5.62E-07,5.62E-07,5.62E-07
D356,India,Colorectal cancer,2019,,,6,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,6,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,7,,1,Male,5,prevalence,2.94E-06,2.94E-06,2.94E-06
D356,India,Colorectal cancer,2019,,,7,,1,Male,6,incidence,5.50E-07,5.50E-07,5.50E-07
D356,India,Colorectal cancer,2019,,,7,,1,Male,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,7,,1,Male,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,7,,2,Female,5,prevalence,3.25E-06,3.25E-06,3.25E-06
D356,India,Colorectal cancer,2019,,,7,,2,Female,6,incidence,6.52E-07,6.52E-07,6.52E-07
D356,India,Colorectal cancer,2019,,,7,,2,Female,7,remission,0,0,0
D356,India,Colorectal cancer,2019,,,7,,2,Female,15,mortality,0,0,0
D356,India,Colorectal cancer,2019,,,8,,1,Male,5,prevalence,3.43E-06,3.43E-06,3.43E-06
