Age,Male,Female
0,0.92,0.92
1,0.92,0.92
2,0.92,0.92
3,0.92,0.92
4,0.92,0.92
5,0.92,0.92
6,0.92,0.92
7,0.92,0.92
8,0.92,0.92
9,0.92,0.92
10,0.92,0.92
11,0.92,0.92
12,0.92,0.92
13,0.92,0.92
14,0.92,0.92
15,0.92,0.92
16,0.92,0.92
17,0.92,0.92
18,0.92,0.92
19,0.92,0.92
20,0.92,0.92
21,0.92,0.92
22,0.92,0.92
23,0.92,0.92
24,0.92,0.92
25,0.92,0.92
26,0.92,0.92
27,0.92,0.92
28,0.92,0.92
29,0.92,0.92
30,0.92,0.92
31,0.92,0.92
32,0.92,0.92
33,0.92,0.92
34,0.92,0.92
35,0.92,0.92
36,0.92,0.92
37,0.92,0.92
38,0.92,0.92
39,0.92,0.92
40,0.92,0.92
41,0.92,0.92
42,0.92,0.92
43,0.92,0.92
44,0.92,0.92
45,0.92,0.92
46,0.92,0.92
47,0.92,0.92
48,0.92,0.92
49,0.92,0.92
50,0.92,0.92
51,0.92,0.92
52,0.92,0.92
53,0.92,0.92
54,0.92,0.92
55,0.92,0.92
56,0.92,0.92
57,0.92,0.92
58,0.92,0.92
59,0.92,0.92
60,0.92,0.92
61,0.92,0.92
62,0.92,0.92
63,0.92,0.92
64,0.92,0.92
65,0.92,0.92
66,0.92,0.92
67,0.92,0.92
68,0.92,0.92
69,0.92,0.92
70,0.92,0.92
71,0.92,0.92
72,0.92,0.92
73,0.92,0.92
74,0.92,0.92
75,0.92,0.92
76,0.92,0.92
77,0.92,0.92
78,0.92,0.92
79,0.92,0.92
80,0.92,0.92
81,0.92,0.92
82,0.92,0.92
83,0.92,0.92
84,0.92,0.92
85,0.92,0.92
86,0.92,0.92
87,0.92,0.92
88,0.92,0.92
89,0.92,0.92
90,0.92,0.92
91,0.92,0.92
92,0.92,0.92
93,0.92,0.92
94,0.92,0.92
95,0.92,0.92
96,0.92,0.92
97,0.92,0.92
98,0.92,0.92
99,0.92,0.92
100,0.92,0.92
101,0.92,0.92
102,0.92,0.92
103,0.92,0.92
104,0.92,0.92
105,0.92,0.92
106,0.92,0.92
107,0.92,0.92
108,0.92,0.92
109,0.92,0.92
110,0.92,0.92
