Age,Male,Female
0,1,1.59
1,1,1.59
2,1,1.59
3,1,1.59
4,1,1.59
5,1,1.59
6,1,1.59
7,1,1.59
8,1,1.59
9,1,1.59
10,1,1.59
11,1,1.59
12,1,1.59
13,1,1.59
14,1,1.59
15,1,1.59
16,1,1.59
17,1,1.59
18,1,1.59
19,1,1.59
20,1,1.59
21,1,1.59
22,1,1.59
23,1,1.59
24,1,1.59
25,1,1.59
26,1,1.59
27,1,1.59
28,1,1.59
29,1,1.59
30,1,1.59
31,1,1.59
32,1,1.59
33,1,1.59
34,1,1.59
35,1,1.59
36,1,1.59
37,1,1.59
38,1,1.59
39,1,1.59
40,1,1.59
41,1,1.59
42,1,1.59
43,1,1.59
44,1,1.59
45,1,1.59
46,1,1.59
47,1,1.59
48,1,1.59
49,1,1.59
50,1,1.59
51,1,1.59
52,1,1.59
53,1,1.59
54,1,1.59
55,1,1.59
56,1,1.59
57,1,1.59
58,1,1.59
59,1,1.59
60,1,1.59
61,1,1.59
62,1,1.59
63,1,1.59
64,1,1.59
65,1,1.59
66,1,1.59
67,1,1.59
68,1,1.59
69,1,1.59
70,1,1.59
71,1,1.59
72,1,1.59
73,1,1.59
74,1,1.59
75,1,1.59
76,1,1.59
77,1,1.59
78,1,1.59
79,1,1.59
80,1,1.59
81,1,1.59
82,1,1.59
83,1,1.59
84,1,1.59
85,1,1.59
86,1,1.59
87,1,1.59
88,1,1.59
89,1,1.59
90,1,1.59
91,1,1.59
92,1,1.59
93,1,1.59
94,1,1.59
95,1,1.59
96,1,1.59
97,1,1.59
98,1,1.59
99,1,1.59
100,1,1.59
101,1,1.59
102,1,1.59
103,1,1.59
104,1,1.59
105,1,1.59
106,1,1.59
107,1,1.59
108,1,1.59
109,1,1.59
110,0,1.59
