Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,2,1.7
42,2,1.7
43,2,1.7
44,2,1.7
45,2,1.7
46,2,1.7
47,2,1.7
48,2,1.7
49,2,1.7
50,2,1.7
51,2,1.7
52,2,1.7
53,2,1.7
54,2,1.7
55,2,1.7
56,2,1.7
57,2,1.7
58,2,1.7
59,2,1.7
60,2,1.7
61,2,1.7
62,2,1.7
63,2,1.7
64,2,1.7
65,2,1.7
66,2,1.7
67,2,1.7
68,2,1.7
69,2,1.7
70,2,1.7
71,2,1.7
72,2,1.7
73,2,1.7
74,2,1.7
75,2,1.7
76,2,1.7
77,2,1.7
78,2,1.7
79,2,1.7
80,2,1.7
81,2,1.7
82,2,1.7
83,2,1.7
84,2,1.7
85,2,1.7
86,2,1.7
87,2,1.7
88,2,1.7
89,2,1.7
90,2,1.7
91,2,1.7
92,2,1.7
93,2,1.7
94,2,1.7
95,2,1.7
96,2,1.7
97,2,1.7
98,2,1.7
99,2,1.7
100,2,1.7
101,2,1.7
102,2,1.7
103,2,1.7
104,2,1.7
105,2,1.7
106,2,1.7
107,2,1.7
108,2,1.7
109,2,1.7
110,2,1.7
