Age,Male,Female
0,1,1.27
1,1,1.27
2,1,1.27
3,1,1.27
4,1,1.27
5,1,1.27
6,1,1.27
7,1,1.27
8,1,1.27
9,1,1.27
10,1,1.27
11,1,1.27
12,1,1.27
13,1,1.27
14,1,1.27
15,1,1.27
16,1,1.27
17,1,1.27
18,1,1.27
19,1,1.27
20,1,1.27
21,1,1.27
22,1,1.27
23,1,1.27
24,1,1.27
25,1,1.27
26,1,1.27
27,1,1.27
28,1,1.27
29,1,1.27
30,1,1.27
31,1,1.27
32,1,1.27
33,1,1.27
34,1,1.27
35,1,1.27
36,1,1.27
37,1,1.27
38,1,1.27
39,1,1.27
40,1,1.27
41,1,1.27
42,1,1.27
43,1,1.27
44,1,1.27
45,1,1.27
46,1,1.27
47,1,1.27
48,1,1.27
49,1,1.27
50,1,1.27
51,1,1.27
52,1,1.27
53,1,1.27
54,1,1.27
55,1,1.27
56,1,1.27
57,1,1.27
58,1,1.27
59,1,1.27
60,1,1.27
61,1,1.27
62,1,1.27
63,1,1.27
64,1,1.27
65,1,1.27
66,1,1.27
67,1,1.27
68,1,1.27
69,1,1.27
70,1,1.27
71,1,1.27
72,1,1.27
73,1,1.27
74,1,1.27
75,1,1.27
76,1,1.27
77,1,1.27
78,1,1.27
79,1,1.27
80,1,1.27
81,1,1.27
82,1,1.27
83,1,1.27
84,1,1.27
85,1,1.27
86,1,1.27
87,1,1.27
88,1,1.27
89,1,1.27
90,1,1.27
91,1,1.27
92,1,1.27
93,1,1.27
94,1,1.27
95,1,1.27
96,1,1.27
97,1,1.27
98,1,1.27
99,1,1.27
100,1,1.27
101,1,1.27
102,1,1.27
103,1,1.27
104,1,1.27
105,1,1.27
106,1,1.27
107,1,1.27
108,1,1.27
109,1,1.27
110,1,1.27
