Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1.5
18,1,1.5
19,1,1.5
20,1,1.5
21,1,1.5
22,1,1.5
23,1,1.5
24,1,1.5
25,1,1.5
26,1,1.5
27,1,1.5
28,1,1.5
29,1,1.5
30,1,1.5
31,1,1.5
32,1,1.5
33,1,1.5
34,1,1.5
35,1,1.5
36,1,1.5
37,1,1.5
38,1,1.5
39,1,1.5
40,1,1.5
41,1,1.5
42,1,1.5
43,1,1.5
44,1,1.5
45,1,1.5
46,1,1.5
47,1,1.5
48,1,1.5
49,1,1.5
50,1,1.5
51,1,1.5
52,1,1.5
53,1,1.5
54,1,1.5
55,1,1.5
56,1,1.5
57,1,1.5
58,1,1.5
59,1,1.5
60,1,1.5
61,1,1.5
62,1,1.5
63,1,1.5
64,1,1.5
65,1,1.5
66,1,1.5
67,1,1.5
68,1,1.5
69,1,1.5
70,1,1.5
71,1,1.5
72,1,1.5
73,1,1.5
74,1,1.5
75,1,1.5
76,1,1.5
77,1,1.5
78,1,1.5
79,1,1.5
80,1,1.5
81,1,1.5
82,1,1.5
83,1,1.5
84,1,1.5
85,1,1.5
86,1,1.5
87,1,1.5
88,1,1.5
89,1,1.5
90,1,1.5
91,1,1.5
92,1,1.5
93,1,1.5
94,1,1.5
95,1,1.5
96,1,1.5
97,1,1.5
98,1,1.5
99,1,1.5
100,1,1.5
101,1,1.5
102,1,1.5
103,1,1.5
104,1,1.5
105,1,1.5
106,1,1.5
107,1,1.5
108,1,1.5
109,1,1.5
