Age,Male,Female
0,0.68,0.68
1,0.68,0.68
2,0.68,0.68
3,0.68,0.68
4,0.68,0.68
5,0.68,0.68
6,0.68,0.68
7,0.68,0.68
8,0.68,0.68
9,0.68,0.68
10,0.68,0.68
11,0.68,0.68
12,0.68,0.68
13,0.68,0.68
14,0.68,0.68
15,0.68,0.68
16,0.68,0.68
17,0.68,0.68
18,0.68,0.68
19,0.68,0.68
20,0.68,0.68
21,0.68,0.68
22,0.68,0.68
23,0.68,0.68
24,0.68,0.68
25,0.68,0.68
26,0.68,0.68
27,0.68,0.68
28,0.68,0.68
29,0.68,0.68
30,0.68,0.68
31,0.68,0.68
32,0.68,0.68
33,0.68,0.68
34,0.68,0.68
35,0.68,0.68
36,0.68,0.68
37,0.68,0.68
38,0.68,0.68
39,0.68,0.68
40,0.68,0.68
41,0.68,0.68
42,0.68,0.68
43,0.68,0.68
44,0.68,0.68
45,0.68,0.68
46,0.68,0.68
47,0.68,0.68
48,0.68,0.68
49,0.68,0.68
50,0.68,0.68
51,0.68,0.68
52,0.68,0.68
53,0.68,0.68
54,0.68,0.68
55,0.68,0.68
56,0.68,0.68
57,0.68,0.68
58,0.68,0.68
59,0.68,0.68
60,0.68,0.68
61,0.68,0.68
62,0.68,0.68
63,0.68,0.68
64,0.68,0.68
65,0.68,0.68
66,0.68,0.68
67,0.68,0.68
68,0.68,0.68
69,0.68,0.68
70,0.68,0.68
71,0.68,0.68
72,0.68,0.68
73,0.68,0.68
74,0.68,0.68
75,0.68,0.68
76,0.68,0.68
77,0.68,0.68
78,0.68,0.68
79,0.68,0.68
80,0.68,0.68
81,0.68,0.68
82,0.68,0.68
83,0.68,0.68
84,0.68,0.68
85,0.68,0.68
86,0.68,0.68
87,0.68,0.68
88,0.68,0.68
89,0.68,0.68
90,0.68,0.68
91,0.68,0.68
92,0.68,0.68
93,0.68,0.68
94,0.68,0.68
95,0.68,0.68
96,0.68,0.68
97,0.68,0.68
98,0.68,0.68
99,0.68,0.68
100,0.68,0.68
101,0.68,0.68
102,0.68,0.68
103,0.68,0.68
104,0.68,0.68
105,0.68,0.68
106,0.68,0.68
107,0.68,0.68
108,0.68,0.68
109,0.68,0.68
110,0.68,0.68
