Age,Male,Female
0,3.46,3.46
1,3.46,3.46
2,3.46,3.46
3,3.46,3.46
4,3.46,3.46
5,3.46,3.46
6,3.46,3.46
7,3.46,3.46
8,3.46,3.46
9,3.46,3.46
10,3.46,3.46
11,3.46,3.46
12,3.46,3.46
13,3.46,3.46
14,3.46,3.46
15,3.46,3.46
16,3.46,3.46
17,3.46,3.46
18,3.46,3.46
19,3.46,3.46
20,3.46,3.46
21,3.46,3.46
22,3.46,3.46
23,3.46,3.46
24,3.46,3.46
25,3.46,3.46
26,3.46,3.46
27,3.46,3.46
28,3.46,3.46
29,3.46,3.46
30,3.46,3.46
31,3.46,3.46
32,3.46,3.46
33,3.46,3.46
34,3.46,3.46
35,3.46,3.46
36,3.46,3.46
37,3.46,3.46
38,3.46,3.46
39,3.46,3.46
40,3.46,3.46
41,3.46,3.46
42,3.46,3.46
43,3.46,3.46
44,3.46,3.46
45,3.46,3.46
46,3.46,3.46
47,3.46,3.46
48,3.46,3.46
49,3.46,3.46
50,3.46,3.46
51,3.46,3.46
52,3.46,3.46
53,3.46,3.46
54,3.46,3.46
55,3.46,3.46
56,3.46,3.46
57,3.46,3.46
58,3.46,3.46
59,3.46,3.46
60,3.46,3.46
61,3.46,3.46
62,3.46,3.46
63,3.46,3.46
64,3.46,3.46
65,3.46,3.46
66,3.46,3.46
67,3.46,3.46
68,3.46,3.46
69,3.46,3.46
70,3.46,3.46
71,3.46,3.46
72,3.46,3.46
73,3.46,3.46
74,3.46,3.46
75,3.46,3.46
76,3.46,3.46
77,3.46,3.46
78,3.46,3.46
79,3.46,3.46
80,3.46,3.46
81,3.46,3.46
82,3.46,3.46
83,3.46,3.46
84,3.46,3.46
85,3.46,3.46
86,3.46,3.46
87,3.46,3.46
88,3.46,3.46
89,3.46,3.46
90,3.46,3.46
91,3.46,3.46
92,3.46,3.46
93,3.46,3.46
94,3.46,3.46
95,3.46,3.46
96,3.46,3.46
97,3.46,3.46
98,3.46,3.46
99,3.46,3.46
100,3.46,3.46
101,3.46,3.46
102,3.46,3.46
103,3.46,3.46
104,3.46,3.46
105,3.46,3.46
106,3.46,3.46
107,3.46,3.46
108,3.46,3.46
109,3.46,3.46
110,3.46,3.46
