Age,Male,Female
0,1.54,1.54
1,1.54,1.54
2,1.54,1.54
3,1.54,1.54
4,1.54,1.54
5,1.54,1.54
6,1.54,1.54
7,1.54,1.54
8,1.54,1.54
9,1.54,1.54
10,1.54,1.54
11,1.54,1.54
12,1.54,1.54
13,1.54,1.54
14,1.54,1.54
15,1.54,1.54
16,1.54,1.54
17,1.54,1.54
18,1.54,1.54
19,1.54,1.54
20,1.54,1.54
21,1.54,1.54
22,1.54,1.54
23,1.54,1.54
24,1.54,1.54
25,1.54,1.54
26,1.54,1.54
27,1.54,1.54
28,1.54,1.54
29,1.54,1.54
30,1.54,1.54
31,1.54,1.54
32,1.54,1.54
33,1.54,1.54
34,1.54,1.54
35,1.54,1.54
36,1.54,1.54
37,1.54,1.54
38,1.54,1.54
39,1.54,1.54
40,1.54,1.54
41,1.54,1.54
42,1.54,1.54
43,1.54,1.54
44,1.54,1.54
45,1.54,1.54
46,1.54,1.54
47,1.54,1.54
48,1.54,1.54
49,1.54,1.54
50,1.54,1.54
51,1.54,1.54
52,1.54,1.54
53,1.54,1.54
54,1.54,1.54
55,1.54,1.54
56,1.54,1.54
57,1.54,1.54
58,1.54,1.54
59,1.54,1.54
60,1.54,1.54
61,1.54,1.54
62,1.54,1.54
63,1.54,1.54
64,1.54,1.54
65,1.54,1.54
66,1.54,1.54
67,1.54,1.54
68,1.54,1.54
69,1.54,1.54
70,1.54,1.54
71,1.54,1.54
72,1.54,1.54
73,1.54,1.54
74,1.54,1.54
75,1.54,1.54
76,1.54,1.54
77,1.54,1.54
78,1.54,1.54
79,1.54,1.54
80,1.54,1.54
81,1.54,1.54
82,1.54,1.54
83,1.54,1.54
84,1.54,1.54
85,1.54,1.54
86,1.54,1.54
87,1.54,1.54
88,1.54,1.54
89,1.54,1.54
90,1.54,1.54
91,1.54,1.54
92,1.54,1.54
93,1.54,1.54
94,1.54,1.54
95,1.54,1.54
96,1.54,1.54
97,1.54,1.54
98,1.54,1.54
99,1.54,1.54
100,1.54,1.54
101,1.54,1.54
102,1.54,1.54
103,1.54,1.54
104,1.54,1.54
105,1.54,1.54
106,1.54,1.54
107,1.54,1.54
108,1.54,1.54
109,1.54,1.54
110,1.54,1.54
