Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,4.26,4.26
13,4.26,4.26
14,4.26,4.26
15,4.26,4.26
16,4.26,4.26
17,4.26,4.26
18,7.56,7.56
19,7.56,7.56
20,7.56,7.56
21,7.56,7.56
22,7.56,7.56
23,7.56,7.56
24,7.56,7.56
25,7.56,7.56
26,7.56,7.56
27,7.56,7.56
28,7.56,7.56
29,7.56,7.56
30,7.56,7.56
31,7.56,7.56
32,7.56,7.56
33,7.56,7.56
34,7.56,7.56
35,7.56,7.56
36,7.56,7.56
37,7.56,7.56
38,7.56,7.56
39,7.56,7.56
40,7.56,7.56
41,7.56,7.56
42,7.56,7.56
43,7.56,7.56
44,7.56,7.56
45,7.56,7.56
46,7.56,7.56
47,7.56,7.56
48,7.56,7.56
49,7.56,7.56
50,7.56,7.56
51,7.56,7.56
52,7.56,7.56
53,7.56,7.56
54,7.56,7.56
55,7.56,7.56
56,7.56,7.56
57,7.56,7.56
58,7.56,7.56
59,7.56,7.56
60,7.56,7.56
61,7.56,7.56
62,7.56,7.56
63,7.56,7.56
64,7.56,7.56
65,7.56,7.56
66,7.56,7.56
67,7.56,7.56
68,7.56,7.56
69,7.56,7.56
70,7.56,7.56
71,7.56,7.56
72,7.56,7.56
73,7.56,7.56
74,7.56,7.56
75,7.56,7.56
76,7.56,7.56
77,7.56,7.56
78,7.56,7.56
79,7.56,7.56
80,7.56,7.56
81,7.56,7.56
82,7.56,7.56
83,7.56,7.56
84,7.56,7.56
85,7.56,7.56
86,7.56,7.56
87,7.56,7.56
88,7.56,7.56
89,7.56,7.56
90,7.56,7.56
91,7.56,7.56
92,7.56,7.56
93,7.56,7.56
94,7.56,7.56
95,7.56,7.56
96,7.56,7.56
97,7.56,7.56
98,7.56,7.56
99,7.56,7.56
100,7.56,7.56
101,7.56,7.56
102,7.56,7.56
103,7.56,7.56
104,7.56,7.56
105,7.56,7.56
106,7.56,7.56
107,7.56,7.56
108,7.56,7.56
109,7.56,7.56
110,7.56,7.56
