Age,Male,Female
0,3.24,3.24
1,3.24,3.24
2,3.24,3.24
3,3.24,3.24
4,3.24,3.24
5,3.24,3.24
6,3.24,3.24
7,3.24,3.24
8,3.24,3.24
9,3.24,3.24
10,3.24,3.24
11,3.24,3.24
12,3.24,3.24
13,3.24,3.24
14,3.24,3.24
15,3.24,3.24
16,3.24,3.24
17,3.24,3.24
18,3.24,3.24
19,3.24,3.24
20,3.24,3.24
21,3.24,3.24
22,3.24,3.24
23,3.24,3.24
24,3.24,3.24
25,3.24,3.24
26,3.24,3.24
27,3.24,3.24
28,3.24,3.24
29,3.24,3.24
30,3.24,3.24
31,3.24,3.24
32,3.24,3.24
33,3.24,3.24
34,3.24,3.24
35,3.24,3.24
36,3.24,3.24
37,3.24,3.24
38,3.24,3.24
39,3.24,3.24
40,3.24,3.24
41,3.24,3.24
42,3.24,3.24
43,3.24,3.24
44,3.24,3.24
45,3.24,3.24
46,3.24,3.24
47,3.24,3.24
48,3.24,3.24
49,3.24,3.24
50,3.24,3.24
51,3.24,3.24
52,3.24,3.24
53,3.24,3.24
54,3.24,3.24
55,3.24,3.24
56,3.24,3.24
57,3.24,3.24
58,3.24,3.24
59,3.24,3.24
60,1.6,1.6
61,1.6,1.6
62,1.6,1.6
63,1.6,1.6
64,1.6,1.6
65,1.6,1.6
66,1.6,1.6
67,1.6,1.6
68,1.6,1.6
69,1.6,1.6
70,1.6,1.6
71,1.6,1.6
72,1.6,1.6
73,1.6,1.6
74,1.6,1.6
75,1.6,1.6
76,1.6,1.6
77,1.6,1.6
78,1.6,1.6
79,1.6,1.6
80,1.6,1.6
81,1.6,1.6
82,1.6,1.6
83,1.6,1.6
84,1.6,1.6
85,1.6,1.6
86,1.6,1.6
87,1.6,1.6
88,1.6,1.6
89,1.6,1.6
90,1.6,1.6
91,1.6,1.6
92,1.6,1.6
93,1.6,1.6
94,1.6,1.6
95,1.6,1.6
96,1.6,1.6
97,1.6,1.6
98,1.6,1.6
99,1.6,1.6
100,1.6,1.6
101,1.6,1.6
102,1.6,1.6
103,1.6,1.6
104,1.6,1.6
105,1.6,1.6
106,1.6,1.6
107,1.6,1.6
108,1.6,1.6
109,1.6,1.6
110,1.6,1.6
