Age,Male,Female
0,1.29,1.29
1,1.29,1.29
2,1.29,1.29
3,1.29,1.29
4,1.29,1.29
5,1.29,1.29
6,1.29,1.29
7,1.29,1.29
8,1.29,1.29
9,1.29,1.29
10,1.29,1.29
11,1.29,1.29
12,1.29,1.29
13,1.29,1.29
14,1.29,1.29
15,1.29,1.29
16,1.29,1.29
17,1.29,1.29
18,1.29,1.29
19,1.29,1.29
20,1.29,1.29
21,1.29,1.29
22,1.29,1.29
23,1.29,1.29
24,1.29,1.29
25,1.29,1.29
26,1.29,1.29
27,1.29,1.29
28,1.29,1.29
29,1.29,1.29
30,1.29,1.29
31,1.29,1.29
32,1.29,1.29
33,1.29,1.29
34,1.29,1.29
35,1.29,1.29
36,1.29,1.29
37,1.29,1.29
38,1.29,1.29
39,1.29,1.29
40,1.29,1.29
41,1.29,1.29
42,1.29,1.29
43,1.29,1.29
44,1.29,1.29
45,1.29,1.29
46,1.29,1.29
47,1.29,1.29
48,1.29,1.29
49,1.29,1.29
50,1.29,1.29
51,1.29,1.29
52,1.29,1.29
53,1.29,1.29
54,1.29,1.29
55,1.29,1.29
56,1.29,1.29
57,1.29,1.29
58,1.29,1.29
59,1.29,1.29
60,1.29,1.29
61,1.29,1.29
62,1.29,1.29
63,1.29,1.29
64,1.29,1.29
65,1.29,1.29
66,1.29,1.29
67,1.29,1.29
68,1.29,1.29
69,1.29,1.29
70,1.29,1.29
71,1.29,1.29
72,1.29,1.29
73,1.29,1.29
74,1.29,1.29
75,1.29,1.29
76,1.29,1.29
77,1.29,1.29
78,1.29,1.29
79,1.29,1.29
80,1.29,1.29
81,1.29,1.29
82,1.29,1.29
83,1.29,1.29
84,1.29,1.29
85,1.29,1.29
86,1.29,1.29
87,1.29,1.29
88,1.29,1.29
89,1.29,1.29
90,1.29,1.29
91,1.29,1.29
92,1.29,1.29
93,1.29,1.29
94,1.29,1.29
95,1.29,1.29
96,1.29,1.29
97,1.29,1.29
98,1.29,1.29
99,1.29,1.29
100,1.29,1.29
101,1.29,1.29
102,1.29,1.29
103,1.29,1.29
104,1.29,1.29
105,1.29,1.29
106,1.29,1.29
107,1.29,1.29
108,1.29,1.29
109,1.29,1.29
110,1.29,1.29
