Age,Male,Female
0,5.09,5.09
1,5.09,5.09
2,5.09,5.09
3,5.09,5.09
4,5.09,5.09
5,5.09,5.09
6,5.09,5.09
7,5.09,5.09
8,5.09,5.09
9,5.09,5.09
10,5.09,5.09
11,5.09,5.09
12,5.09,5.09
13,5.09,5.09
14,5.09,5.09
15,5.09,5.09
16,5.09,5.09
17,5.09,5.09
18,5.09,5.09
19,5.09,5.09
20,5.09,5.09
21,5.09,5.09
22,5.09,5.09
23,5.09,5.09
24,5.09,5.09
25,5.09,5.09
26,5.09,5.09
27,5.09,5.09
28,5.09,5.09
29,5.09,5.09
30,5.09,5.09
31,5.09,5.09
32,5.09,5.09
33,5.09,5.09
34,5.09,5.09
35,5.09,5.09
36,5.09,5.09
37,5.09,5.09
38,5.09,5.09
39,5.09,5.09
40,5.09,5.09
41,5.09,5.09
42,5.09,5.09
43,5.09,5.09
44,5.09,5.09
45,5.09,5.09
46,5.09,5.09
47,5.09,5.09
48,5.09,5.09
49,5.09,5.09
50,5.09,5.09
51,5.09,5.09
52,5.09,5.09
53,5.09,5.09
54,5.09,5.09
55,5.09,5.09
56,5.09,5.09
57,5.09,5.09
58,5.09,5.09
59,5.09,5.09
60,5.09,5.09
61,5.09,5.09
62,5.09,5.09
63,5.09,5.09
64,5.09,5.09
65,5.09,5.09
66,5.09,5.09
67,5.09,5.09
68,5.09,5.09
69,5.09,5.09
70,5.09,5.09
71,5.09,5.09
72,5.09,5.09
73,5.09,5.09
74,5.09,5.09
75,5.09,5.09
76,5.09,5.09
77,5.09,5.09
78,5.09,5.09
79,5.09,5.09
80,5.09,5.09
81,5.09,5.09
82,5.09,5.09
83,5.09,5.09
84,5.09,5.09
85,5.09,5.09
86,5.09,5.09
87,5.09,5.09
88,5.09,5.09
89,5.09,5.09
90,5.09,5.09
91,5.09,5.09
92,5.09,5.09
93,5.09,5.09
94,5.09,5.09
95,5.09,5.09
96,5.09,5.09
97,5.09,5.09
98,5.09,5.09
99,5.09,5.09
100,5.09,5.09
101,5.09,5.09
102,5.09,5.09
103,5.09,5.09
104,5.09,5.09
105,5.09,5.09
106,5.09,5.09
107,5.09,5.09
108,5.09,5.09
109,5.09,5.09
110,5.09,5.09
