Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1.26,1.26
76,1.26,1.26
77,1.26,1.26
78,1.26,1.26
79,1.26,1.26
80,1.26,1.26
81,1.26,1.26
82,1.26,1.26
83,1.26,1.26
84,1.26,1.26
85,1.26,1.26
86,1.26,1.26
87,1.26,1.26
88,1.26,1.26
89,1.26,1.26
90,1.26,1.26
91,1.26,1.26
92,1.26,1.26
93,1.26,1.26
94,1.26,1.26
95,1.26,1.26
96,1.26,1.26
97,1.26,1.26
98,1.26,1.26
99,1.26,1.26
100,1.26,1.26
101,1.26,1.26
102,1.26,1.26
103,1.26,1.26
104,1.26,1.26
105,1.26,1.26
106,1.26,1.26
107,1.26,1.26
108,1.26,1.26
109,1.26,1.26
110,1.26,1.26
