Age,Male,Female
0,1.13,1.13
1,1.13,1.13
2,1.13,1.13
3,1.13,1.13
4,1.13,1.13
5,1.13,1.13
6,1.13,1.13
7,1.13,1.13
8,1.13,1.13
9,1.13,1.13
10,1.13,1.13
11,1.13,1.13
12,1.13,1.13
13,1.13,1.13
14,1.13,1.13
15,1.13,1.13
16,1.13,1.13
17,1.13,1.13
18,1.13,1.13
19,1.13,1.13
20,1.13,1.13
21,1.13,1.13
22,1.13,1.13
23,1.13,1.13
24,1.13,1.13
25,1.13,1.13
26,1.13,1.13
27,1.13,1.13
28,1.13,1.13
29,1.13,1.13
30,1.13,1.13
31,1.13,1.13
32,1.13,1.13
33,1.13,1.13
34,1.13,1.13
35,1.13,1.13
36,1.13,1.13
37,1.13,1.13
38,1.13,1.13
39,1.13,1.13
40,1.13,1.13
41,1.13,1.13
42,1.13,1.13
43,1.13,1.13
44,1.13,1.13
45,1.13,1.13
46,1.13,1.13
47,1.13,1.13
48,1.13,1.13
49,1.13,1.13
50,1.13,1.13
51,1.13,1.13
52,1.13,1.13
53,1.13,1.13
54,1.13,1.13
55,1.13,1.13
56,1.13,1.13
57,1.13,1.13
58,1.13,1.13
59,1.13,1.13
60,1.13,1.13
61,1.13,1.13
62,1.13,1.13
63,1.13,1.13
64,1.13,1.13
65,1.13,1.13
66,1.13,1.13
67,1.13,1.13
68,1.13,1.13
69,1.13,1.13
70,1.13,1.13
71,1.13,1.13
72,1.13,1.13
73,1.13,1.13
74,1.13,1.13
75,1.13,1.13
76,1.13,1.13
77,1.13,1.13
78,1.13,1.13
79,1.13,1.13
80,1.13,1.13
81,1.13,1.13
82,1.13,1.13
83,1.13,1.13
84,1.13,1.13
85,1.13,1.13
86,1.13,1.13
87,1.13,1.13
88,1.13,1.13
89,1.13,1.13
90,1.13,1.13
91,1.13,1.13
92,1.13,1.13
93,1.13,1.13
94,1.13,1.13
95,1.13,1.13
96,1.13,1.13
97,1.13,1.13
98,1.13,1.13
99,1.13,1.13
100,1.13,1.13
101,1.13,1.13
102,1.13,1.13
103,1.13,1.13
104,1.13,1.13
105,1.13,1.13
106,1.13,1.13
107,1.13,1.13
108,1.13,1.13
109,1.13,1.13
110,1.13,1.13
