Age,Male,Female
0,1,1
1,1,1
2,13.01,13.01
3,13.01,13.01
4,13.01,13.01
5,13.01,13.01
6,13.01,13.01
7,13.01,13.01
8,13.01,13.01
9,13.01,13.01
10,13.01,13.01
11,13.01,13.01
12,13.01,13.01
13,13.01,13.01
14,13.01,13.01
15,13.01,13.01
16,13.01,13.01
17,13.01,13.01
18,13.01,13.01
19,13.01,13.01
20,13.01,13.01
21,13.01,13.01
22,13.01,13.01
23,13.01,13.01
24,13.01,13.01
25,13.01,13.01
26,13.01,13.01
27,13.01,13.01
28,13.01,13.01
29,13.01,13.01
30,13.01,13.01
31,13.01,13.01
32,13.01,13.01
33,13.01,13.01
34,13.01,13.01
35,13.01,13.01
36,13.01,13.01
37,13.01,13.01
38,13.01,13.01
39,13.01,13.01
40,13.01,13.01
41,13.01,13.01
42,13.01,13.01
43,13.01,13.01
44,13.01,13.01
45,13.01,13.01
46,13.01,13.01
47,13.01,13.01
48,13.01,13.01
49,13.01,13.01
50,13.01,13.01
51,13.01,13.01
52,13.01,13.01
53,13.01,13.01
54,13.01,13.01
55,13.01,13.01
56,13.01,13.01
57,13.01,13.01
58,13.01,13.01
59,13.01,13.01
60,13.01,13.01
61,13.01,13.01
62,13.01,13.01
63,13.01,13.01
64,13.01,13.01
65,13.01,13.01
66,13.01,13.01
67,13.01,13.01
68,13.01,13.01
69,13.01,13.01
70,13.01,13.01
71,13.01,13.01
72,13.01,13.01
73,13.01,13.01
74,13.01,13.01
75,13.01,13.01
76,13.01,13.01
77,13.01,13.01
78,13.01,13.01
79,13.01,13.01
80,13.01,13.01
81,13.01,13.01
82,13.01,13.01
83,13.01,13.01
84,13.01,13.01
85,13.01,13.01
86,13.01,13.01
87,13.01,13.01
88,13.01,13.01
89,13.01,13.01
90,13.01,13.01
91,13.01,13.01
92,13.01,13.01
93,13.01,13.01
94,13.01,13.01
95,13.01,13.01
96,13.01,13.01
97,13.01,13.01
98,13.01,13.01
99,13.01,13.01
100,13.01,13.01
101,13.01,13.01
102,13.01,13.01
103,13.01,13.01
104,13.01,13.01
105,13.01,13.01
106,13.01,13.01
107,13.01,13.01
108,13.01,13.01
109,13.01,13.01
