Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,0.96,0.96
55,0.96,0.96
56,0.96,0.96
57,0.96,0.96
58,0.96,0.96
59,0.96,0.96
60,0.96,0.96
61,0.96,0.96
62,0.96,0.96
63,0.96,0.96
64,0.96,0.96
65,0.96,0.96
66,0.96,0.96
67,0.96,0.96
68,0.96,0.96
69,0.96,0.96
70,0.96,0.96
71,0.96,0.96
72,0.96,0.96
73,0.96,0.96
74,0.96,0.96
75,0.96,0.96
76,0.96,0.96
77,0.96,0.96
78,0.96,0.96
79,0.96,0.96
80,0.96,0.96
81,0.96,0.96
82,0.96,0.96
83,0.96,0.96
84,0.96,0.96
85,0.96,0.96
86,0.96,0.96
87,0.96,0.96
88,0.96,0.96
89,0.96,0.96
90,0.96,0.96
91,0.96,0.96
92,0.96,0.96
93,0.96,0.96
94,0.96,0.96
95,0.96,0.96
96,0.96,0.96
97,0.96,0.96
98,0.96,0.96
99,0.96,0.96
100,0.96,0.96
101,0.96,0.96
102,0.96,0.96
103,0.96,0.96
104,0.96,0.96
105,0.96,0.96
106,0.96,0.96
107,0.96,0.96
108,0.96,0.96
109,0.96,0.96
