Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1.52
18,1,1.52
19,1,1.52
20,1,1.52
21,1,1.52
22,1,1.52
23,1,1.52
24,1,1.52
25,1,1.52
26,1,1.52
27,1,1.52
28,1,1.52
29,1,1.52
30,1,1.52
31,1,1.52
32,1,1.52
33,1,1.52
34,1,1.52
35,1,1.52
36,1,1.52
37,1,1.52
38,1,1.52
39,1,1.52
40,1,1.52
41,1,1.52
42,1,1.52
43,1,1.52
44,1,1.52
45,1,1.52
46,1,1.52
47,1,1.52
48,1,1.52
49,1,1.52
50,1,1.52
51,1,1.52
52,1,1.52
53,1,1.52
54,1,1.52
55,1,1.52
56,1,1.52
57,1,1.52
58,1,1.52
59,1,1.52
60,1,1.52
61,1,1.52
62,1,1.52
63,1,1.52
64,1,1.52
65,1,1.52
66,1,1.52
67,1,1.52
68,1,1.52
69,1,1.52
70,1,1.52
71,1,1.52
72,1,1.52
73,1,1.52
74,1,1.52
75,1,1.52
76,1,1.52
77,1,1.52
78,1,1.52
79,1,1.52
80,1,1.52
81,1,1.52
82,1,1.52
83,1,1.52
84,1,1.52
85,1,1.52
86,1,1.52
87,1,1.52
88,1,1.52
89,1,1.52
90,1,1.52
91,1,1.52
92,1,1.52
93,1,1.52
94,1,1.52
95,1,1.52
96,1,1.52
97,1,1.52
98,1,1.52
99,1,1.52
100,1,1.52
101,1,1.52
102,1,1.52
103,1,1.52
104,1,1.52
105,1,1.52
106,1,1.52
107,1,1.52
108,1,1.52
109,1,1.52
