Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1.33,1.33
20,1.33,1.33
21,1.33,1.33
22,1.33,1.33
23,1.33,1.33
24,1.33,1.33
25,1.33,1.33
26,1.33,1.33
27,1.33,1.33
28,1.33,1.33
29,1.33,1.33
30,1.33,1.33
31,1.33,1.33
32,1.33,1.33
33,1.33,1.33
34,1.33,1.33
35,1.33,1.33
36,1.33,1.33
37,1.33,1.33
38,1.33,1.33
39,1.33,1.33
40,1.33,1.33
41,1.33,1.33
42,1.33,1.33
43,1.33,1.33
44,1.33,1.33
45,1.33,1.33
46,1.33,1.33
47,1.33,1.33
48,1.33,1.33
49,1.33,1.33
50,1.33,1.33
51,1.33,1.33
52,1.33,1.33
53,1.33,1.33
54,1.33,1.33
55,1.33,1.33
56,1.33,1.33
57,1.33,1.33
58,1.33,1.33
59,1.33,1.33
60,1.33,1.33
61,1.33,1.33
62,1.33,1.33
63,1.33,1.33
64,1.33,1.33
65,1.33,1.33
66,1.33,1.33
67,1.33,1.33
68,1.33,1.33
69,1.33,1.33
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
