Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1.01,3.14
60,1.01,3.14
61,1.01,3.14
62,1.01,3.14
63,1.01,3.14
64,1.01,3.14
65,1.01,3.14
66,1.01,3.14
67,1.01,3.14
68,1.01,3.14
69,1.01,3.14
70,1.01,3.14
71,1.01,3.14
72,1.01,3.14
73,1.01,3.14
74,1.01,3.14
75,1.01,3.14
76,1.01,3.14
77,1.01,3.14
78,1.01,3.14
79,1.01,3.14
80,1.01,3.14
81,1.01,3.14
82,1.01,3.14
83,1.01,3.14
84,1.01,3.14
85,1.01,3.14
86,1.01,3.14
87,1.01,3.14
88,1.01,3.14
89,1.01,3.14
90,1.01,3.14
91,1.01,3.14
92,1.01,3.14
93,1.01,3.14
94,1.01,3.14
95,1.01,3.14
96,1.01,3.14
97,1.01,3.14
98,1.01,3.14
99,1.01,3.14
100,1.01,3.14
101,1.01,3.14
102,1.01,3.14
103,1.01,3.14
104,1.01,3.14
105,1.01,3.14
106,1.01,3.14
107,1.01,3.14
108,1.01,3.14
109,1.01,3.14
