Age,Male,Female
0,2.02,2.02
1,2.02,2.02
2,2.02,2.02
3,2.02,2.02
4,2.02,2.02
5,2.02,2.02
6,2.02,2.02
7,2.02,2.02
8,2.02,2.02
9,2.02,2.02
10,2.02,2.02
11,2.02,2.02
12,2.02,2.02
13,2.02,2.02
14,2.02,2.02
15,2.02,2.02
16,2.02,2.02
17,2.02,2.02
18,2.02,2.02
19,2.02,2.02
20,2.02,2.02
21,2.02,2.02
22,2.02,2.02
23,2.02,2.02
24,2.02,2.02
25,2.02,2.02
26,2.02,2.02
27,2.02,2.02
28,2.02,2.02
29,2.02,2.02
30,2.02,2.02
31,2.02,2.02
32,2.02,2.02
33,2.02,2.02
34,2.02,2.02
35,2.02,2.02
36,2.02,2.02
37,2.02,2.02
38,2.02,2.02
39,2.02,2.02
40,2.02,2.02
41,2.02,2.02
42,2.02,2.02
43,2.02,2.02
44,2.02,2.02
45,2.02,2.02
46,2.02,2.02
47,2.02,2.02
48,2.02,2.02
49,2.02,2.02
50,2.02,2.02
51,2.02,2.02
52,2.02,2.02
53,2.02,2.02
54,2.02,2.02
55,2.02,2.02
56,2.02,2.02
57,2.02,2.02
58,2.02,2.02
59,2.02,2.02
60,2.02,2.02
61,2.02,2.02
62,2.02,2.02
63,2.02,2.02
64,2.02,2.02
65,2.02,2.02
66,2.02,2.02
67,2.02,2.02
68,2.02,2.02
69,2.02,2.02
70,2.02,2.02
71,2.02,2.02
72,2.02,2.02
73,2.02,2.02
74,2.02,2.02
75,2.02,2.02
76,2.02,2.02
77,2.02,2.02
78,2.02,2.02
79,2.02,2.02
80,2.02,2.02
81,2.02,2.02
82,2.02,2.02
83,2.02,2.02
84,2.02,2.02
85,2.02,2.02
86,2.02,2.02
87,2.02,2.02
88,2.02,2.02
89,2.02,2.02
90,2.02,2.02
91,2.02,2.02
92,2.02,2.02
93,2.02,2.02
94,2.02,2.02
95,2.02,2.02
96,2.02,2.02
97,2.02,2.02
98,2.02,2.02
99,2.02,2.02
100,2.02,2.02
101,2.02,2.02
102,2.02,2.02
103,2.02,2.02
104,2.02,2.02
105,2.02,2.02
106,2.02,2.02
107,2.02,2.02
108,2.02,2.02
109,2.02,2.02
110,2.02,2.02
