Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,0.81,0.81
65,0.81,0.81
66,0.81,0.81
67,0.81,0.81
68,0.81,0.81
69,0.81,0.81
70,0.81,0.81
71,0.81,0.81
72,0.81,0.81
73,0.81,0.81
74,0.81,0.81
75,0.81,0.81
76,0.81,0.81
77,0.81,0.81
78,0.81,0.81
79,0.81,0.81
80,0.81,0.81
81,0.81,0.81
82,0.81,0.81
83,0.81,0.81
84,0.81,0.81
85,0.81,0.81
86,0.81,0.81
87,0.81,0.81
88,0.81,0.81
89,0.81,0.81
90,0.81,0.81
91,0.81,0.81
92,0.81,0.81
93,0.81,0.81
94,0.81,0.81
95,0.81,0.81
96,0.81,0.81
97,0.81,0.81
98,0.81,0.81
99,0.81,0.81
100,0.81,0.81
101,0.81,0.81
102,0.81,0.81
103,0.81,0.81
104,0.81,0.81
105,0.81,0.81
106,0.81,0.81
107,0.81,0.81
108,0.81,0.81
109,0.81,0.81
