Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,2.05,2.05
18,2.05,2.05
19,2.05,2.05
20,2.05,2.05
21,2.05,2.05
22,2.05,2.05
23,2.05,2.05
24,2.05,2.05
25,2.05,2.05
26,2.05,2.05
27,2.05,2.05
28,2.05,2.05
29,2.05,2.05
30,2.05,2.05
31,2.05,2.05
32,2.05,2.05
33,2.05,2.05
34,2.05,2.05
35,2.05,2.05
36,2.05,2.05
37,2.05,2.05
38,2.05,2.05
39,2.05,2.05
40,2.05,2.05
41,2.05,2.05
42,2.05,2.05
43,2.05,2.05
44,2.05,2.05
45,2.05,2.05
46,2.05,2.05
47,2.05,2.05
48,2.05,2.05
49,2.05,2.05
50,2.05,2.05
51,2.05,2.05
52,2.05,2.05
53,2.05,2.05
54,2.05,2.05
55,2.05,2.05
56,2.05,2.05
57,2.05,2.05
58,2.05,2.05
59,2.05,2.05
60,2.05,2.05
61,2.05,2.05
62,2.05,2.05
63,2.05,2.05
64,2.05,2.05
65,2.05,2.05
66,2.05,2.05
67,2.05,2.05
68,2.05,2.05
69,2.05,2.05
70,2.05,2.05
71,2.05,2.05
72,2.05,2.05
73,2.05,2.05
74,2.05,2.05
75,2.05,2.05
76,2.05,2.05
77,2.05,2.05
78,2.05,2.05
79,2.05,2.05
80,2.05,2.05
81,2.05,2.05
82,2.05,2.05
83,2.05,2.05
84,2.05,2.05
85,2.05,2.05
86,2.05,2.05
87,2.05,2.05
88,2.05,2.05
89,2.05,2.05
90,2.05,2.05
91,2.05,2.05
92,2.05,2.05
93,2.05,2.05
94,2.05,2.05
95,2.05,2.05
96,2.05,2.05
97,2.05,2.05
98,2.05,2.05
99,2.05,2.05
100,2.05,2.05
101,2.05,2.05
102,2.05,2.05
103,2.05,2.05
104,2.05,2.05
105,2.05,2.05
106,2.05,2.05
107,2.05,2.05
108,2.05,2.05
109,2.05,2.05
