Age,Male,Female
0,2.41,2.41
1,2.41,2.41
2,2.41,2.41
3,2.41,2.41
4,2.41,2.41
5,2.41,2.41
6,2.41,2.41
7,2.41,2.41
8,2.41,2.41
9,2.41,2.41
10,2.41,2.41
11,2.41,2.41
12,2.41,2.41
13,2.41,2.41
14,2.41,2.41
15,2.41,2.41
16,2.41,2.41
17,2.41,2.41
18,2.41,2.41
19,2.41,2.41
20,2.41,2.41
21,2.41,2.41
22,2.41,2.41
23,2.41,2.41
24,2.41,2.41
25,2.41,2.41
26,2.41,2.41
27,2.41,2.41
28,2.41,2.41
29,2.41,2.41
30,2.41,2.41
31,2.41,2.41
32,2.41,2.41
33,2.41,2.41
34,2.41,2.41
35,2.41,2.41
36,2.41,2.41
37,2.41,2.41
38,2.41,2.41
39,2.41,2.41
40,2.41,2.41
41,2.41,2.41
42,2.41,2.41
43,2.41,2.41
44,2.41,2.41
45,2.41,2.41
46,2.41,2.41
47,2.41,2.41
48,2.41,2.41
49,2.41,2.41
50,2.41,2.41
51,2.41,2.41
52,2.41,2.41
53,2.41,2.41
54,2.41,2.41
55,2.41,2.41
56,2.41,2.41
57,2.41,2.41
58,2.41,2.41
59,2.41,2.41
60,2.41,2.41
61,2.41,2.41
62,2.41,2.41
63,2.41,2.41
64,2.41,2.41
65,2.41,2.41
66,2.41,2.41
67,2.41,2.41
68,2.41,2.41
69,2.41,2.41
70,2.41,2.41
71,2.41,2.41
72,2.41,2.41
73,2.41,2.41
74,2.41,2.41
75,2.41,2.41
76,2.41,2.41
77,2.41,2.41
78,2.41,2.41
79,2.41,2.41
80,2.41,2.41
81,2.41,2.41
82,2.41,2.41
83,2.41,2.41
84,2.41,2.41
85,2.41,2.41
86,2.41,2.41
87,2.41,2.41
88,2.41,2.41
89,2.41,2.41
90,2.41,2.41
91,2.41,2.41
92,2.41,2.41
93,2.41,2.41
94,2.41,2.41
95,2.41,2.41
96,2.41,2.41
97,2.41,2.41
98,2.41,2.41
99,2.41,2.41
100,2.41,2.41
101,2.41,2.41
102,2.41,2.41
103,2.41,2.41
104,2.41,2.41
105,2.41,2.41
106,2.41,2.41
107,2.41,2.41
108,2.41,2.41
109,2.41,2.41
110,2.41,2.41
