Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,0.88,0.88
18,0.88,0.88
19,0.88,0.88
20,0.88,0.88
21,0.88,0.88
22,0.88,0.88
23,0.88,0.88
24,0.88,0.88
25,0.88,0.88
26,0.88,0.88
27,0.88,0.88
28,0.88,0.88
29,0.88,0.88
30,0.88,0.88
31,0.88,0.88
32,0.88,0.88
33,0.88,0.88
34,0.88,0.88
35,0.88,0.88
36,0.88,0.88
37,0.88,0.88
38,0.88,0.88
39,0.88,0.88
40,0.88,0.88
41,0.88,0.88
42,0.88,0.88
43,0.88,0.88
44,0.88,0.88
45,0.88,0.88
46,0.88,0.88
47,0.88,0.88
48,0.88,0.88
49,0.88,0.88
50,0.88,0.88
51,0.88,0.88
52,0.88,0.88
53,0.88,0.88
54,0.88,0.88
55,0.88,0.88
56,0.88,0.88
57,0.88,0.88
58,0.88,0.88
59,0.88,0.88
60,0.88,0.88
61,0.88,0.88
62,0.88,0.88
63,0.88,0.88
64,0.88,0.88
65,0.88,0.88
66,0.88,0.88
67,0.88,0.88
68,0.88,0.88
69,0.88,0.88
70,0.88,0.88
71,0.88,0.88
72,0.88,0.88
73,0.88,0.88
74,0.88,0.88
75,0.88,0.88
76,0.88,0.88
77,0.88,0.88
78,0.88,0.88
79,0.88,0.88
80,0.88,0.88
81,0.88,0.88
82,0.88,0.88
83,0.88,0.88
84,0.88,0.88
85,0.88,0.88
86,0.88,0.88
87,0.88,0.88
88,0.88,0.88
89,0.88,0.88
90,0.88,0.88
91,0.88,0.88
92,0.88,0.88
93,0.88,0.88
94,0.88,0.88
95,0.88,0.88
96,0.88,0.88
97,0.88,0.88
98,0.88,0.88
99,0.88,0.88
100,0.88,0.88
101,0.88,0.88
102,0.88,0.88
103,0.88,0.88
104,0.88,0.88
105,0.88,0.88
106,0.88,0.88
107,0.88,0.88
108,0.88,0.88
109,0.88,0.88
