location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Gallbladder cancer,2019,,,1,,1,Male,5,prevalence,2.99E-10,2.99E-10,2.99E-10
D356,India,Gallbladder cancer,2019,,,1,,1,Male,6,incidence,1.74E-10,1.74E-10,1.74E-10
D356,India,Gallbladder cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,1,,2,Female,5,prevalence,1.04E-09,1.04E-09,1.04E-09
D356,India,Gallbladder cancer,2019,,,1,,2,Female,6,incidence,5.93E-10,5.93E-10,5.93E-10
D356,India,Gallbladder cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,2,,1,Male,5,prevalence,5.08E-10,5.08E-10,5.08E-10
D356,India,Gallbladder cancer,2019,,,2,,1,Male,6,incidence,2.97E-10,2.97E-10,2.97E-10
D356,India,Gallbladder cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,2,,2,Female,5,prevalence,1.77E-09,1.77E-09,1.77E-09
D356,India,Gallbladder cancer,2019,,,2,,2,Female,6,incidence,1.01E-09,1.01E-09,1.01E-09
D356,India,Gallbladder cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,3,,1,Male,5,prevalence,8.94E-10,8.94E-10,8.94E-10
D356,India,Gallbladder cancer,2019,,,3,,1,Male,6,incidence,5.22E-10,5.22E-10,5.22E-10
D356,India,Gallbladder cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,3,,2,Female,5,prevalence,3.11E-09,3.11E-09,3.11E-09
D356,India,Gallbladder cancer,2019,,,3,,2,Female,6,incidence,1.77E-09,1.77E-09,1.77E-09
D356,India,Gallbladder cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,4,,1,Male,5,prevalence,1.55E-09,1.55E-09,1.55E-09
D356,India,Gallbladder cancer,2019,,,4,,1,Male,6,incidence,9.08E-10,9.08E-10,9.08E-10
D356,India,Gallbladder cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,4,,2,Female,5,prevalence,5.38E-09,5.38E-09,5.38E-09
D356,India,Gallbladder cancer,2019,,,4,,2,Female,6,incidence,3.07E-09,3.07E-09,3.07E-09
D356,India,Gallbladder cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,5,,1,Male,5,prevalence,2.63E-09,2.63E-09,2.63E-09
D356,India,Gallbladder cancer,2019,,,5,,1,Male,6,incidence,1.54E-09,1.54E-09,1.54E-09
D356,India,Gallbladder cancer,2019,,,5,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,5,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,5,,2,Female,5,prevalence,9.08E-09,9.08E-09,9.08E-09
D356,India,Gallbladder cancer,2019,,,5,,2,Female,6,incidence,5.18E-09,5.18E-09,5.18E-09
D356,India,Gallbladder cancer,2019,,,5,,2,Female,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,5,,2,Female,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,6,,1,Male,5,prevalence,4.32E-09,4.32E-09,4.32E-09
D356,India,Gallbladder cancer,2019,,,6,,1,Male,6,incidence,2.53E-09,2.53E-09,2.53E-09
D356,India,Gallbladder cancer,2019,,,6,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,6,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,6,,2,Female,5,prevalence,1.49E-08,1.49E-08,1.49E-08
D356,India,Gallbladder cancer,2019,,,6,,2,Female,6,incidence,8.51E-09,8.51E-09,8.51E-09
D356,India,Gallbladder cancer,2019,,,6,,2,Female,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,6,,2,Female,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,7,,1,Male,5,prevalence,6.92E-09,6.92E-09,6.92E-09
D356,India,Gallbladder cancer,2019,,,7,,1,Male,6,incidence,4.07E-09,4.07E-09,4.07E-09
D356,India,Gallbladder cancer,2019,,,7,,1,Male,7,remission,0,0,0
D356,India,Gallbladder cancer,2019,,,7,,1,Male,15,mortality,0,0,0
D356,India,Gallbladder cancer,2019,,,7,,2,Female,5,prevalence,2.37E-08,2.37E-08,2.37E-08
