Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,0.91,0.91
18,0.91,0.91
19,0.91,0.91
20,0.91,0.91
21,0.91,0.91
22,0.91,0.91
23,0.91,0.91
24,0.91,0.91
25,0.91,0.91
26,0.91,0.91
27,0.91,0.91
28,0.91,0.91
29,0.91,0.91
30,0.91,0.91
31,0.91,0.91
32,0.91,0.91
33,0.91,0.91
34,0.91,0.91
35,0.91,0.91
36,0.91,0.91
37,0.91,0.91
38,0.91,0.91
39,0.91,0.91
40,0.91,0.91
41,0.91,0.91
42,0.91,0.91
43,0.91,0.91
44,0.91,0.91
45,0.91,0.91
46,0.91,0.91
47,0.91,0.91
48,0.91,0.91
49,0.91,0.91
50,0.91,0.91
51,0.91,0.91
52,0.91,0.91
53,0.91,0.91
54,0.91,0.91
55,0.91,0.91
56,0.91,0.91
57,0.91,0.91
58,0.91,0.91
59,0.91,0.91
60,0.91,0.91
61,0.91,0.91
62,0.91,0.91
63,0.91,0.91
64,0.91,0.91
65,0.91,0.91
66,0.91,0.91
67,0.91,0.91
68,0.91,0.91
69,0.91,0.91
70,0.91,0.91
71,0.91,0.91
72,0.91,0.91
73,0.91,0.91
74,0.91,0.91
75,0.91,0.91
76,0.91,0.91
77,0.91,0.91
78,0.91,0.91
79,0.91,0.91
80,0.91,0.91
81,0.91,0.91
82,0.91,0.91
83,0.91,0.91
84,0.91,0.91
85,0.91,0.91
86,0.91,0.91
87,0.91,0.91
88,0.91,0.91
89,0.91,0.91
90,0.91,0.91
91,0.91,0.91
92,0.91,0.91
93,0.91,0.91
94,0.91,0.91
95,0.91,0.91
96,0.91,0.91
97,0.91,0.91
98,0.91,0.91
99,0.91,0.91
100,0.91,0.91
101,0.91,0.91
102,0.91,0.91
103,0.91,0.91
104,0.91,0.91
105,0.91,0.91
106,0.91,0.91
107,0.91,0.91
108,0.91,0.91
109,0.91,0.91
