Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1.3,1.4
42,1.3,1.4
43,1.3,1.4
44,1.3,1.4
45,1.3,1.4
46,1.3,1.4
47,1.3,1.4
48,1.3,1.4
49,1.3,1.4
50,1.3,1.4
51,1.3,1.4
52,1.3,1.4
53,1.3,1.4
54,1.3,1.4
55,1.3,1.4
56,1.3,1.4
57,1.3,1.4
58,1.3,1.4
59,1.3,1.4
60,1.3,1.4
61,1.3,1.4
62,1.3,1.4
63,1.3,1.4
64,1.3,1.4
65,1.3,1.4
66,1.3,1.4
67,1.3,1.4
68,1.3,1.4
69,1.3,1.4
70,1.3,1.4
71,1.3,1.4
72,1.3,1.4
73,1.3,1.4
74,1.3,1.4
75,1.3,1.4
76,1.3,1.4
77,1.3,1.4
78,1.3,1.4
79,1.3,1.4
80,1.3,1.4
81,1.3,1.4
82,1.3,1.4
83,1.3,1.4
84,1.3,1.4
85,1.3,1.4
86,1.3,1.4
87,1.3,1.4
88,1.3,1.4
89,1.3,1.4
90,1.3,1.4
91,1.3,1.4
92,1.3,1.4
93,1.3,1.4
94,1.3,1.4
95,1.3,1.4
96,1.3,1.4
97,1.3,1.4
98,1.3,1.4
99,1.3,1.4
100,1.3,1.4
101,1.3,1.4
102,1.3,1.4
103,1.3,1.4
104,1.3,1.4
105,1.3,1.4
106,1.3,1.4
107,1.3,1.4
108,1.3,1.4
109,1.3,1.4
110,1.3,1.4
