Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1.53,1.4
18,1.53,1.4
19,1.53,1.4
20,1.53,1.4
21,1.53,1.4
22,1.53,1.4
23,1.53,1.4
24,1.53,1.4
25,1.53,1.4
26,1.53,1.4
27,1.53,1.4
28,1.53,1.4
29,1.53,1.4
30,1.53,1.4
31,1.53,1.4
32,1.53,1.4
33,1.53,1.4
34,1.53,1.4
35,1.53,1.4
36,1.53,1.4
37,1.53,1.4
38,1.53,1.4
39,1.53,1.4
40,1.53,1.4
41,1.53,1.4
42,1.53,1.4
43,1.53,1.4
44,1.53,1.4
45,1.53,1.4
46,1.53,1.4
47,1.53,1.4
48,1.53,1.4
49,1.53,1.4
50,1.53,1.4
51,1.53,1.4
52,1.53,1.4
53,1.53,1.4
54,1.53,1.4
55,1.53,1.4
56,1.53,1.4
57,1.53,1.4
58,1.53,1.4
59,1.53,1.4
60,1.53,1.4
61,1.53,1.4
62,1.53,1.4
63,1.53,1.4
64,1.53,1.4
65,1.53,1.4
66,1.53,1.4
67,1.53,1.4
68,1.53,1.4
69,1.53,1.4
70,1.53,1.4
71,1.53,1.4
72,1.53,1.4
73,1.53,1.4
74,1.53,1.4
75,1.53,1.4
76,1.53,1.4
77,1.53,1.4
78,1.53,1.4
79,1.53,1.4
80,1.53,1.4
81,1.53,1.4
82,1.53,1.4
83,1.53,1.4
84,1.53,1.4
85,1.53,1.4
86,1.53,1.4
87,1.53,1.4
88,1.53,1.4
89,1.53,1.4
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
