Age,Male,Female
0,4.9,4.9
1,4.9,4.9
2,4.9,4.9
3,4.9,4.9
4,4.9,4.9
5,4.9,4.9
6,4.9,4.9
7,4.9,4.9
8,4.9,4.9
9,4.9,4.9
10,4.9,4.9
11,4.9,4.9
12,4.9,4.9
13,4.9,4.9
14,4.9,4.9
15,4.9,4.9
16,4.9,4.9
17,4.9,4.9
18,4.9,4.9
19,4.9,4.9
20,4.9,4.9
21,4.9,4.9
22,4.9,4.9
23,4.9,4.9
24,4.9,4.9
25,4.9,4.9
26,4.9,4.9
27,4.9,4.9
28,4.9,4.9
29,4.9,4.9
30,4.9,4.9
31,4.9,4.9
32,4.9,4.9
33,4.9,4.9
34,4.9,4.9
35,4.9,4.9
36,4.9,4.9
37,4.9,4.9
38,4.9,4.9
39,4.9,4.9
40,4.9,4.9
41,4.9,4.9
42,4.9,4.9
43,4.9,4.9
44,4.9,4.9
45,4.9,4.9
46,4.9,4.9
47,4.9,4.9
48,4.9,4.9
49,4.9,4.9
50,4.9,4.9
51,4.9,4.9
52,4.9,4.9
53,4.9,4.9
54,4.9,4.9
55,4.9,4.9
56,4.9,4.9
57,4.9,4.9
58,4.9,4.9
59,4.9,4.9
60,4.9,4.9
61,4.9,4.9
62,4.9,4.9
63,4.9,4.9
64,4.9,4.9
65,4.9,4.9
66,4.9,4.9
67,4.9,4.9
68,4.9,4.9
69,4.9,4.9
70,4.9,4.9
71,4.9,4.9
72,4.9,4.9
73,4.9,4.9
74,4.9,4.9
75,4.9,4.9
76,4.9,4.9
77,4.9,4.9
78,4.9,4.9
79,4.9,4.9
80,4.9,4.9
81,4.9,4.9
82,4.9,4.9
83,4.9,4.9
84,4.9,4.9
85,4.9,4.9
86,4.9,4.9
87,4.9,4.9
88,4.9,4.9
89,4.9,4.9
90,4.9,4.9
91,4.9,4.9
92,4.9,4.9
93,4.9,4.9
94,4.9,4.9
95,4.9,4.9
96,4.9,4.9
97,4.9,4.9
98,4.9,4.9
99,4.9,4.9
100,4.9,4.9
101,4.9,4.9
102,4.9,4.9
103,4.9,4.9
104,4.9,4.9
105,4.9,4.9
106,4.9,4.9
107,4.9,4.9
108,4.9,4.9
109,4.9,4.9
110,4.9,4.9
