Age,Male,Female
0,4.38,4.38
1,4.38,4.38
2,4.38,4.38
3,4.38,4.38
4,4.38,4.38
5,4.38,4.38
6,4.38,4.38
7,4.38,4.38
8,4.38,4.38
9,4.38,4.38
10,4.38,4.38
11,4.38,4.38
12,4.38,4.38
13,4.38,4.38
14,4.38,4.38
15,4.38,4.38
16,4.38,4.38
17,4.38,4.38
18,4.38,4.38
19,4.38,4.38
20,4.38,4.38
21,4.38,4.38
22,4.38,4.38
23,4.38,4.38
24,4.38,4.38
25,4.38,4.38
26,4.38,4.38
27,4.38,4.38
28,4.38,4.38
29,4.38,4.38
30,4.38,4.38
31,4.38,4.38
32,4.38,4.38
33,4.38,4.38
34,4.38,4.38
35,4.38,4.38
36,4.38,4.38
37,4.38,4.38
38,4.38,4.38
39,4.38,4.38
40,4.38,4.38
41,4.38,4.38
42,4.38,4.38
43,4.38,4.38
44,4.38,4.38
45,4.38,4.38
46,4.38,4.38
47,4.38,4.38
48,4.38,4.38
49,4.38,4.38
50,4.38,4.38
51,4.38,4.38
52,4.38,4.38
53,4.38,4.38
54,4.38,4.38
55,4.38,4.38
56,4.38,4.38
57,4.38,4.38
58,4.38,4.38
59,4.38,4.38
60,4.38,4.38
61,4.38,4.38
62,4.38,4.38
63,4.38,4.38
64,4.38,4.38
65,4.38,4.38
66,4.38,4.38
67,4.38,4.38
68,4.38,4.38
69,4.38,4.38
70,4.38,4.38
71,4.38,4.38
72,4.38,4.38
73,4.38,4.38
74,4.38,4.38
75,4.38,4.38
76,4.38,4.38
77,4.38,4.38
78,4.38,4.38
79,4.38,4.38
80,4.38,4.38
81,4.38,4.38
82,4.38,4.38
83,4.38,4.38
84,4.38,4.38
85,4.38,4.38
86,4.38,4.38
87,4.38,4.38
88,4.38,4.38
89,4.38,4.38
90,4.38,4.38
91,4.38,4.38
92,4.38,4.38
93,4.38,4.38
94,4.38,4.38
95,4.38,4.38
96,4.38,4.38
97,4.38,4.38
98,4.38,4.38
99,4.38,4.38
100,4.38,4.38
101,4.38,4.38
102,4.38,4.38
103,4.38,4.38
104,4.38,4.38
105,4.38,4.38
106,4.38,4.38
107,4.38,4.38
108,4.38,4.38
109,4.38,4.38
110,4.38,4.38
