Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1.71,1.71
40,1.71,1.71
41,1.71,1.71
42,1.71,1.71
43,1.71,1.71
44,1.71,1.71
45,1.71,1.71
46,1.71,1.71
47,1.71,1.71
48,1.71,1.71
49,1.71,1.71
50,1.71,1.71
51,1.71,1.71
52,1.71,1.71
53,1.71,1.71
54,1.71,1.71
55,1.71,1.71
56,1.71,1.71
57,1.71,1.71
58,1.71,1.71
59,1.71,1.71
60,1.71,1.71
61,1.71,1.71
62,1.71,1.71
63,1.71,1.71
64,1.71,1.71
65,1.71,1.71
66,1.71,1.71
67,1.71,1.71
68,1.71,1.71
69,1.71,1.71
70,1.71,1.71
71,1.71,1.71
72,1.71,1.71
73,1.71,1.71
74,1.71,1.71
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
