location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Ischemic heart disease,2019,5,1 to 4,1,FALSE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,1,FALSE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,2,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,2,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,3,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,3,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,4,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,4,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,5,FALSE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,5,FALSE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,6,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,6,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,7,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,7,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,8,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,8,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,9,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,6,5 to 9,9,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,10,FALSE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,10,FALSE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,11,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,11,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,12,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,12,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,13,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,13,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,14,TRUE,1,Male,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,7,10 to 14,14,TRUE,2,Female,5,prevalence,0,0,0
D356,India,Ischemic heart disease,2019,8,15 to 19,15,FALSE,1,Male,5,prevalence,0.000136344,9.32E-05,0.000189969
D356,India,Ischemic heart disease,2019,8,15 to 19,15,FALSE,2,Female,5,prevalence,0.000112857,7.74E-05,0.000157214
D356,India,Ischemic heart disease,2019,8,15 to 19,16,TRUE,1,Male,5,prevalence,0.000136344,9.32E-05,0.000189969
D356,India,Ischemic heart disease,2019,8,15 to 19,16,TRUE,2,Female,5,prevalence,0.000112857,7.74E-05,0.000157214
D356,India,Ischemic heart disease,2019,8,15 to 19,17,TRUE,1,Male,5,prevalence,0.000136344,9.32E-05,0.000189969
D356,India,Ischemic heart disease,2019,8,15 to 19,17,TRUE,2,Female,5,prevalence,0.000112857,7.74E-05,0.000157214
D356,India,Ischemic heart disease,2019,8,15 to 19,18,TRUE,1,Male,5,prevalence,0.000136344,9.32E-05,0.000189969
D356,India,Ischemic heart disease,2019,8,15 to 19,18,TRUE,2,Female,5,prevalence,0.000112857,7.74E-05,0.000157214
D356,India,Ischemic heart disease,2019,8,15 to 19,19,TRUE,1,Male,5,prevalence,0.000136344,9.32E-05,0.000189969
D356,India,Ischemic heart disease,2019,8,15 to 19,19,TRUE,2,Female,5,prevalence,0.000112857,7.74E-05,0.000157214
D356,India,Ischemic heart disease,2019,9,20 to 24,20,FALSE,1,Male,5,prevalence,0.000373281,0.000285738,0.000474954
D356,India,Ischemic heart disease,2019,9,20 to 24,20,FALSE,2,Female,5,prevalence,0.000309855,0.000237091,0.000399324
D356,India,Ischemic heart disease,2019,9,20 to 24,21,TRUE,1,Male,5,prevalence,0.000373281,0.000285738,0.000474954
D356,India,Ischemic heart disease,2019,9,20 to 24,21,TRUE,2,Female,5,prevalence,0.000309855,0.000237091,0.000399324
D356,India,Ischemic heart disease,2019,9,20 to 24,22,TRUE,1,Male,5,prevalence,0.000373281,0.000285738,0.000474954
D356,India,Ischemic heart disease,2019,9,20 to 24,22,TRUE,2,Female,5,prevalence,0.000309855,0.000237091,0.000399324
D356,India,Ischemic heart disease,2019,9,20 to 24,23,TRUE,1,Male,5,prevalence,0.000373281,0.000285738,0.000474954
D356,India,Ischemic heart disease,2019,9,20 to 24,23,TRUE,2,Female,5,prevalence,0.000309855,0.000237091,0.000399324
D356,India,Ischemic heart disease,2019,9,20 to 24,24,TRUE,1,Male,5,prevalence,0.000373281,0.000285738,0.000474954
D356,India,Ischemic heart disease,2019,9,20 to 24,24,TRUE,2,Female,5,prevalence,0.000309855,0.000237091,0.000399324
D356,India,Ischemic heart disease,2019,10,25 to 29,25,FALSE,1,Male,5,prevalence,0.001138729,0.000919501,0.001382308
D356,India,Ischemic heart disease,2019,10,25 to 29,25,FALSE,2,Female,5,prevalence,0.000934974,0.000754428,0.001138778
D356,India,Ischemic heart disease,2019,10,25 to 29,26,TRUE,1,Male,5,prevalence,0.001138729,0.000919501,0.001382308
D356,India,Ischemic heart disease,2019,10,25 to 29,26,TRUE,2,Female,5,prevalence,0.000934974,0.000754428,0.001138778
D356,India,Ischemic heart disease,2019,10,25 to 29,27,TRUE,1,Male,5,prevalence,0.001138729,0.000919501,0.001382308
D356,India,Ischemic heart disease,2019,10,25 to 29,27,TRUE,2,Female,5,prevalence,0.000934974,0.000754428,0.001138778
D356,India,Ischemic heart disease,2019,10,25 to 29,28,TRUE,1,Male,5,prevalence,0.001138729,0.000919501,0.001382308
D356,India,Ischemic heart disease,2019,10,25 to 29,28,TRUE,2,Female,5,prevalence,0.000934974,0.000754428,0.001138778
D356,India,Ischemic heart disease,2019,10,25 to 29,29,TRUE,1,Male,5,prevalence,0.001138729,0.000919501,0.001382308
D356,India,Ischemic heart disease,2019,10,25 to 29,29,TRUE,2,Female,5,prevalence,0.000934974,0.000754428,0.001138778
D356,India,Ischemic heart disease,2019,11,30 to 34,30,FALSE,1,Male,5,prevalence,0.002579045,0.002107703,0.003107507
D356,India,Ischemic heart disease,2019,11,30 to 34,30,FALSE,2,Female,5,prevalence,0.002091487,0.001698944,0.002539005
D356,India,Ischemic heart disease,2019,11,30 to 34,31,TRUE,1,Male,5,prevalence,0.002579045,0.002107703,0.003107507
D356,India,Ischemic heart disease,2019,11,30 to 34,31,TRUE,2,Female,5,prevalence,0.002091487,0.001698944,0.002539005
D356,India,Ischemic heart disease,2019,11,30 to 34,32,TRUE,1,Male,5,prevalence,0.002579045,0.002107703,0.003107507
D356,India,Ischemic heart disease,2019,11,30 to 34,32,TRUE,2,Female,5,prevalence,0.002091487,0.001698944,0.002539005
D356,India,Ischemic heart disease,2019,11,30 to 34,33,TRUE,1,Male,5,prevalence,0.002579045,0.002107703,0.003107507
D356,India,Ischemic heart disease,2019,11,30 to 34,33,TRUE,2,Female,5,prevalence,0.002091487,0.001698944,0.002539005
D356,India,Ischemic heart disease,2019,11,30 to 34,34,TRUE,1,Male,5,prevalence,0.002579045,0.002107703,0.003107507
D356,India,Ischemic heart disease,2019,11,30 to 34,34,TRUE,2,Female,5,prevalence,0.002091487,0.001698944,0.002539005
D356,India,Ischemic heart disease,2019,12,35 to 39,35,FALSE,1,Male,5,prevalence,0.005099698,0.004249003,0.006192566
D356,India,Ischemic heart disease,2019,12,35 to 39,35,FALSE,2,Female,5,prevalence,0.004060634,0.003343184,0.004956963
D356,India,Ischemic heart disease,2019,12,35 to 39,36,TRUE,1,Male,5,prevalence,0.005099698,0.004249003,0.006192566
D356,India,Ischemic heart disease,2019,12,35 to 39,36,TRUE,2,Female,5,prevalence,0.004060634,0.003343184,0.004956963
D356,India,Ischemic heart disease,2019,12,35 to 39,37,TRUE,1,Male,5,prevalence,0.005099698,0.004249003,0.006192566
D356,India,Ischemic heart disease,2019,12,35 to 39,37,TRUE,2,Female,5,prevalence,0.004060634,0.003343184,0.004956963
D356,India,Ischemic heart disease,2019,12,35 to 39,38,TRUE,1,Male,5,prevalence,0.005099698,0.004249003,0.006192566
D356,India,Ischemic heart disease,2019,12,35 to 39,38,TRUE,2,Female,5,prevalence,0.004060634,0.003343184,0.004956963
D356,India,Ischemic heart disease,2019,12,35 to 39,39,TRUE,1,Male,5,prevalence,0.005099698,0.004249003,0.006192566
D356,India,Ischemic heart disease,2019,12,35 to 39,39,TRUE,2,Female,5,prevalence,0.004060634,0.003343184,0.004956963
D356,India,Ischemic heart disease,2019,13,40 to 44,40,FALSE,1,Male,5,prevalence,0.010094569,0.008494399,0.012183397
D356,India,Ischemic heart disease,2019,13,40 to 44,40,FALSE,2,Female,5,prevalence,0.00772232,0.006431729,0.009433669
D356,India,Ischemic heart disease,2019,13,40 to 44,41,TRUE,1,Male,5,prevalence,0.010094569,0.008494399,0.012183397
D356,India,Ischemic heart disease,2019,13,40 to 44,41,TRUE,2,Female,5,prevalence,0.00772232,0.006431729,0.009433669
D356,India,Ischemic heart disease,2019,13,40 to 44,42,TRUE,1,Male,5,prevalence,0.010094569,0.008494399,0.012183397
D356,India,Ischemic heart disease,2019,13,40 to 44,42,TRUE,2,Female,5,prevalence,0.00772232,0.006431729,0.009433669
D356,India,Ischemic heart disease,2019,13,40 to 44,43,TRUE,1,Male,5,prevalence,0.010094569,0.008494399,0.012183397
D356,India,Ischemic heart disease,2019,13,40 to 44,43,TRUE,2,Female,5,prevalence,0.00772232,0.006431729,0.009433669
D356,India,Ischemic heart disease,2019,13,40 to 44,44,TRUE,1,Male,5,prevalence,0.010094569,0.008494399,0.012183397
D356,India,Ischemic heart disease,2019,13,40 to 44,44,TRUE,2,Female,5,prevalence,0.00772232,0.006431729,0.009433669
D356,India,Ischemic heart disease,2019,14,45 to 49,45,FALSE,1,Male,5,prevalence,0.020628977,0.017507744,0.024328353
D356,India,Ischemic heart disease,2019,14,45 to 49,45,FALSE,2,Female,5,prevalence,0.01422582,0.011926669,0.017018852
D356,India,Ischemic heart disease,2019,14,45 to 49,46,TRUE,1,Male,5,prevalence,0.020628977,0.017507744,0.024328353
D356,India,Ischemic heart disease,2019,14,45 to 49,46,TRUE,2,Female,5,prevalence,0.01422582,0.011926669,0.017018852
D356,India,Ischemic heart disease,2019,14,45 to 49,47,TRUE,1,Male,5,prevalence,0.020628977,0.017507744,0.024328353
D356,India,Ischemic heart disease,2019,14,45 to 49,47,TRUE,2,Female,5,prevalence,0.01422582,0.011926669,0.017018852
D356,India,Ischemic heart disease,2019,14,45 to 49,48,TRUE,1,Male,5,prevalence,0.020628977,0.017507744,0.024328353
D356,India,Ischemic heart disease,2019,14,45 to 49,48,TRUE,2,Female,5,prevalence,0.01422582,0.011926669,0.017018852
D356,India,Ischemic heart disease,2019,14,45 to 49,49,TRUE,1,Male,5,prevalence,0.020628977,0.017507744,0.024328353
D356,India,Ischemic heart disease,2019,14,45 to 49,49,TRUE,2,Female,5,prevalence,0.01422582,0.011926669,0.017018852
D356,India,Ischemic heart disease,2019,15,50 to 54,50,FALSE,1,Male,5,prevalence,0.041734712,0.035373174,0.049051223
D356,India,Ischemic heart disease,2019,15,50 to 54,50,FALSE,2,Female,5,prevalence,0.025593353,0.021413365,0.031194462
D356,India,Ischemic heart disease,2019,15,50 to 54,51,TRUE,1,Male,5,prevalence,0.041734712,0.035373174,0.049051223
D356,India,Ischemic heart disease,2019,15,50 to 54,51,TRUE,2,Female,5,prevalence,0.025593353,0.021413365,0.031194462
D356,India,Ischemic heart disease,2019,15,50 to 54,52,TRUE,1,Male,5,prevalence,0.041734712,0.035373174,0.049051223
D356,India,Ischemic heart disease,2019,15,50 to 54,52,TRUE,2,Female,5,prevalence,0.025593353,0.021413365,0.031194462
D356,India,Ischemic heart disease,2019,15,50 to 54,53,TRUE,1,Male,5,prevalence,0.041734712,0.035373174,0.049051223
D356,India,Ischemic heart disease,2019,15,50 to 54,53,TRUE,2,Female,5,prevalence,0.025593353,0.021413365,0.031194462
D356,India,Ischemic heart disease,2019,15,50 to 54,54,TRUE,1,Male,5,prevalence,0.041734712,0.035373174,0.049051223
D356,India,Ischemic heart disease,2019,15,50 to 54,54,TRUE,2,Female,5,prevalence,0.025593353,0.021413365,0.031194462
D356,India,Ischemic heart disease,2019,16,55 to 59,55,FALSE,1,Male,5,prevalence,0.084068201,0.071301907,0.098493534
D356,India,Ischemic heart disease,2019,16,55 to 59,55,FALSE,2,Female,5,prevalence,0.045819042,0.038562432,0.054870087
D356,India,Ischemic heart disease,2019,16,55 to 59,56,TRUE,1,Male,5,prevalence,0.084068201,0.071301907,0.098493534
D356,India,Ischemic heart disease,2019,16,55 to 59,56,TRUE,2,Female,5,prevalence,0.045819042,0.038562432,0.054870087
D356,India,Ischemic heart disease,2019,16,55 to 59,57,TRUE,1,Male,5,prevalence,0.084068201,0.071301907,0.098493534
D356,India,Ischemic heart disease,2019,16,55 to 59,57,TRUE,2,Female,5,prevalence,0.045819042,0.038562432,0.054870087
D356,India,Ischemic heart disease,2019,16,55 to 59,58,TRUE,1,Male,5,prevalence,0.084068201,0.071301907,0.098493534
D356,India,Ischemic heart disease,2019,16,55 to 59,58,TRUE,2,Female,5,prevalence,0.045819042,0.038562432,0.054870087
D356,India,Ischemic heart disease,2019,16,55 to 59,59,TRUE,1,Male,5,prevalence,0.084068201,0.071301907,0.098493534
D356,India,Ischemic heart disease,2019,16,55 to 59,59,TRUE,2,Female,5,prevalence,0.045819042,0.038562432,0.054870087
D356,India,Ischemic heart disease,2019,17,60 to 64,60,FALSE,1,Male,5,prevalence,0.14638507,0.122839737,0.176110127
D356,India,Ischemic heart disease,2019,17,60 to 64,60,FALSE,2,Female,5,prevalence,0.076919024,0.064153112,0.093189984
D356,India,Ischemic heart disease,2019,17,60 to 64,61,TRUE,1,Male,5,prevalence,0.14638507,0.122839737,0.176110127
D356,India,Ischemic heart disease,2019,17,60 to 64,61,TRUE,2,Female,5,prevalence,0.076919024,0.064153112,0.093189984
D356,India,Ischemic heart disease,2019,17,60 to 64,62,TRUE,1,Male,5,prevalence,0.14638507,0.122839737,0.176110127
D356,India,Ischemic heart disease,2019,17,60 to 64,62,TRUE,2,Female,5,prevalence,0.076919024,0.064153112,0.093189984
D356,India,Ischemic heart disease,2019,17,60 to 64,63,TRUE,1,Male,5,prevalence,0.14638507,0.122839737,0.176110127
D356,India,Ischemic heart disease,2019,17,60 to 64,63,TRUE,2,Female,5,prevalence,0.076919024,0.064153112,0.093189984
D356,India,Ischemic heart disease,2019,17,60 to 64,64,TRUE,1,Male,5,prevalence,0.14638507,0.122839737,0.176110127
D356,India,Ischemic heart disease,2019,17,60 to 64,64,TRUE,2,Female,5,prevalence,0.076919024,0.064153112,0.093189984
D356,India,Ischemic heart disease,2019,18,65 to 69,65,FALSE,1,Male,5,prevalence,0.240130071,0.206350594,0.277019472
D356,India,Ischemic heart disease,2019,18,65 to 69,65,FALSE,2,Female,5,prevalence,0.13113169,0.111583853,0.153682983
D356,India,Ischemic heart disease,2019,18,65 to 69,66,TRUE,1,Male,5,prevalence,0.240130071,0.206350594,0.277019472
D356,India,Ischemic heart disease,2019,18,65 to 69,66,TRUE,2,Female,5,prevalence,0.13113169,0.111583853,0.153682983
D356,India,Ischemic heart disease,2019,18,65 to 69,67,TRUE,1,Male,5,prevalence,0.240130071,0.206350594,0.277019472
D356,India,Ischemic heart disease,2019,18,65 to 69,67,TRUE,2,Female,5,prevalence,0.13113169,0.111583853,0.153682983
D356,India,Ischemic heart disease,2019,18,65 to 69,68,TRUE,1,Male,5,prevalence,0.240130071,0.206350594,0.277019472
D356,India,Ischemic heart disease,2019,18,65 to 69,68,TRUE,2,Female,5,prevalence,0.13113169,0.111583853,0.153682983
D356,India,Ischemic heart disease,2019,18,65 to 69,69,TRUE,1,Male,5,prevalence,0.240130071,0.206350594,0.277019472
D356,India,Ischemic heart disease,2019,18,65 to 69,69,TRUE,2,Female,5,prevalence,0.13113169,0.111583853,0.153682983
D356,India,Ischemic heart disease,2019,19,70 to 74,70,FALSE,1,Male,5,prevalence,0.325362551,0.281074796,0.373610268
D356,India,Ischemic heart disease,2019,19,70 to 74,70,FALSE,2,Female,5,prevalence,0.190157266,0.161166084,0.222285491
D356,India,Ischemic heart disease,2019,19,70 to 74,71,TRUE,1,Male,5,prevalence,0.325362551,0.281074796,0.373610268
D356,India,Ischemic heart disease,2019,19,70 to 74,71,TRUE,2,Female,5,prevalence,0.190157266,0.161166084,0.222285491
D356,India,Ischemic heart disease,2019,19,70 to 74,72,TRUE,1,Male,5,prevalence,0.325362551,0.281074796,0.373610268
D356,India,Ischemic heart disease,2019,19,70 to 74,72,TRUE,2,Female,5,prevalence,0.190157266,0.161166084,0.222285491
D356,India,Ischemic heart disease,2019,19,70 to 74,73,TRUE,1,Male,5,prevalence,0.325362551,0.281074796,0.373610268
D356,India,Ischemic heart disease,2019,19,70 to 74,73,TRUE,2,Female,5,prevalence,0.190157266,0.161166084,0.222285491
D356,India,Ischemic heart disease,2019,19,70 to 74,74,TRUE,1,Male,5,prevalence,0.325362551,0.281074796,0.373610268
D356,India,Ischemic heart disease,2019,19,70 to 74,74,TRUE,2,Female,5,prevalence,0.190157266,0.161166084,0.222285491
D356,India,Ischemic heart disease,2019,20,75 to 79,75,FALSE,1,Male,5,prevalence,0.408303783,0.355635519,0.464846894
D356,India,Ischemic heart disease,2019,20,75 to 79,75,FALSE,2,Female,5,prevalence,0.251763491,0.215151194,0.291867225
D356,India,Ischemic heart disease,2019,20,75 to 79,76,TRUE,1,Male,5,prevalence,0.408303783,0.355635519,0.464846894
D356,India,Ischemic heart disease,2019,20,75 to 79,76,TRUE,2,Female,5,prevalence,0.251763491,0.215151194,0.291867225
D356,India,Ischemic heart disease,2019,20,75 to 79,77,TRUE,1,Male,5,prevalence,0.408303783,0.355635519,0.464846894
D356,India,Ischemic heart disease,2019,20,75 to 79,77,TRUE,2,Female,5,prevalence,0.251763491,0.215151194,0.291867225
D356,India,Ischemic heart disease,2019,20,75 to 79,78,TRUE,1,Male,5,prevalence,0.408303783,0.355635519,0.464846894
D356,India,Ischemic heart disease,2019,20,75 to 79,78,TRUE,2,Female,5,prevalence,0.251763491,0.215151194,0.291867225
D356,India,Ischemic heart disease,2019,20,75 to 79,79,TRUE,1,Male,5,prevalence,0.408303783,0.355635519,0.464846894
D356,India,Ischemic heart disease,2019,20,75 to 79,79,TRUE,2,Female,5,prevalence,0.251763491,0.215151194,0.291867225
D356,India,Ischemic heart disease,2019,30,80 to 84,80,FALSE,1,Male,5,prevalence,0.461127833,0.396662487,0.531920894
D356,India,Ischemic heart disease,2019,30,80 to 84,80,FALSE,2,Female,5,prevalence,0.294746245,0.2485964,0.347054651
D356,India,Ischemic heart disease,2019,30,80 to 84,81,TRUE,1,Male,5,prevalence,0.461127833,0.396662487,0.531920894
D356,India,Ischemic heart disease,2019,30,80 to 84,81,TRUE,2,Female,5,prevalence,0.294746245,0.2485964,0.347054651
D356,India,Ischemic heart disease,2019,30,80 to 84,82,TRUE,1,Male,5,prevalence,0.461127833,0.396662487,0.531920894
D356,India,Ischemic heart disease,2019,30,80 to 84,82,TRUE,2,Female,5,prevalence,0.294746245,0.2485964,0.347054651
D356,India,Ischemic heart disease,2019,30,80 to 84,83,TRUE,1,Male,5,prevalence,0.461127833,0.396662487,0.531920894
D356,India,Ischemic heart disease,2019,30,80 to 84,83,TRUE,2,Female,5,prevalence,0.294746245,0.2485964,0.347054651
D356,India,Ischemic heart disease,2019,30,80 to 84,84,TRUE,1,Male,5,prevalence,0.461127833,0.396662487,0.531920894
D356,India,Ischemic heart disease,2019,30,80 to 84,84,TRUE,2,Female,5,prevalence,0.294746245,0.2485964,0.347054651
D356,India,Ischemic heart disease,2019,31,85 to 89,85,FALSE,1,Male,5,prevalence,0.460260023,0.396163187,0.531542329
D356,India,Ischemic heart disease,2019,31,85 to 89,85,FALSE,2,Female,5,prevalence,0.298360629,0.250779259,0.352636122
D356,India,Ischemic heart disease,2019,31,85 to 89,86,TRUE,1,Male,5,prevalence,0.460260023,0.396163187,0.531542329
D356,India,Ischemic heart disease,2019,31,85 to 89,86,TRUE,2,Female,5,prevalence,0.298360629,0.250779259,0.352636122
D356,India,Ischemic heart disease,2019,31,85 to 89,87,TRUE,1,Male,5,prevalence,0.460260023,0.396163187,0.531542329
D356,India,Ischemic heart disease,2019,31,85 to 89,87,TRUE,2,Female,5,prevalence,0.298360629,0.250779259,0.352636122
D356,India,Ischemic heart disease,2019,31,85 to 89,88,TRUE,1,Male,5,prevalence,0.460260023,0.396163187,0.531542329
D356,India,Ischemic heart disease,2019,31,85 to 89,88,TRUE,2,Female,5,prevalence,0.298360629,0.250779259,0.352636122
D356,India,Ischemic heart disease,2019,31,85 to 89,89,TRUE,1,Male,5,prevalence,0.460260023,0.396163187,0.531542329
D356,India,Ischemic heart disease,2019,31,85 to 89,89,TRUE,2,Female,5,prevalence,0.298360629,0.250779259,0.352636122
D356,India,Ischemic heart disease,2019,32,90 to 94,90,FALSE,1,Male,5,prevalence,0.422940591,0.345363999,0.499986214
D356,India,Ischemic heart disease,2019,32,90 to 94,90,FALSE,2,Female,5,prevalence,0.277765598,0.220498831,0.335399798
D356,India,Ischemic heart disease,2019,32,90 to 94,91,TRUE,1,Male,5,prevalence,0.422940591,0.345363999,0.499986214
D356,India,Ischemic heart disease,2019,32,90 to 94,91,TRUE,2,Female,5,prevalence,0.277765598,0.220498831,0.335399798
D356,India,Ischemic heart disease,2019,32,90 to 94,92,TRUE,1,Male,5,prevalence,0.422940591,0.345363999,0.499986214
D356,India,Ischemic heart disease,2019,32,90 to 94,92,TRUE,2,Female,5,prevalence,0.277765598,0.220498831,0.335399798
D356,India,Ischemic heart disease,2019,32,90 to 94,93,TRUE,1,Male,5,prevalence,0.422940591,0.345363999,0.499986214
D356,India,Ischemic heart disease,2019,32,90 to 94,93,TRUE,2,Female,5,prevalence,0.277765598,0.220498831,0.335399798
D356,India,Ischemic heart disease,2019,32,90 to 94,94,TRUE,1,Male,5,prevalence,0.422940591,0.345363999,0.499986214
D356,India,Ischemic heart disease,2019,32,90 to 94,94,TRUE,2,Female,5,prevalence,0.277765598,0.220498831,0.335399798
D356,India,Ischemic heart disease,2019,235,95 plus,95,FALSE,1,Male,5,prevalence,0.386378251,0.304860734,0.484448307
D356,India,Ischemic heart disease,2019,235,95 plus,95,FALSE,2,Female,5,prevalence,0.250543615,0.192994163,0.325620355
D356,India,Ischemic heart disease,2019,235,95 plus,96,TRUE,1,Male,5,prevalence,0.386378251,0.304860734,0.484448307
D356,India,Ischemic heart disease,2019,235,95 plus,96,TRUE,2,Female,5,prevalence,0.250543615,0.192994163,0.325620355
D356,India,Ischemic heart disease,2019,235,95 plus,97,TRUE,1,Male,5,prevalence,0.386378251,0.304860734,0.484448307
D356,India,Ischemic heart disease,2019,235,95 plus,97,TRUE,2,Female,5,prevalence,0.250543615,0.192994163,0.325620355
D356,India,Ischemic heart disease,2019,235,95 plus,98,TRUE,1,Male,5,prevalence,0.386378251,0.304860734,0.484448307
D356,India,Ischemic heart disease,2019,235,95 plus,98,TRUE,2,Female,5,prevalence,0.250543615,0.192994163,0.325620355
D356,India,Ischemic heart disease,2019,235,95 plus,99,TRUE,1,Male,5,prevalence,0.386378251,0.304860734,0.484448307
D356,India,Ischemic heart disease,2019,235,95 plus,99,TRUE,2,Female,5,prevalence,0.250543615,0.192994163,0.325620355
D356,India,Ischemic heart disease,2019,235,95 plus,100,TRUE,1,Male,5,prevalence,0.386378251,0.304860734,0.484448307
D356,India,Ischemic heart disease,2019,235,95 plus,100,TRUE,2,Female,5,prevalence,0.250543615,0.192994163,0.325620355
D356,India,Ischemic heart disease,2019,5,1 to 4,1,FALSE,1,Male,6,incidence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,1,FALSE,2,Female,6,incidence,0,0,0
D356,India,Ischemic heart disease,2019,5,1 to 4,2,TRUE,1,Male,6,incidence,0,0,0
